protein,HR,HR_lo,HR_hi,z,pval,n_events,fdr
mthfsd,0.693085830686713,0.516246168996364,0.930501759717803,-2.43923450889653,0.0147184133418258,109,0.256053216058784
fut3_fut5,1.27221119453506,1.04836152701248,1.54385799344681,2.43827282909936,0.0147576311389905,119,0.256053216058784
tnc,1.24671079378804,1.04371892994045,1.48918234474897,2.43187497220993,0.0150208913546707,118,0.256053216058784
lamp3,1.25166416725672,1.04442345614011,1.50002681228972,2.43060287526776,0.0150737261290568,121,0.256053216058784
gcg,1.2649523561515,1.04652588894333,1.52896787383716,2.43016893263273,0.015091786737054,116,0.256053216058784
app,1.28120531516953,1.04907662739141,1.5646970075964,2.42973325951865,0.0151099385373434,119,0.256053216058784
nxph1,0.790649026155442,0.654147733881648,0.955634102484944,-2.42927102873656,0.0151292178502613,120,0.256053216058784
il1a,1.17647760870811,1.03146887412747,1.34187235166197,2.42162442195543,0.015451310578289,118,0.259992861811557
mmp13,0.80228618782224,0.671065937001563,0.959165249910224,-2.41749786529939,0.01562762565911,120,0.261448380998098
thop1,0.751312824878398,0.595551707015576,0.947811842661706,-2.41212636890983,0.0158597834981629,121,0.261754327291222
unc79,0.741489819274367,0.58144377915281,0.945589533847326,-2.41093994625881,0.0159114681427561,107,0.261754327291222
ntprobnp,1.2595905731187,1.04398583119106,1.51972216910206,2.40935188843843,0.0159808811679749,122,0.261754327291222
areg,1.19823641236883,1.03415679220485,1.38834895322346,2.40697037887856,0.016085474478128,118,0.261754327291222
casp2,0.607922268402681,0.405342123705002,0.911747047264265,-2.40674263323034,0.0160955082738333,122,0.261754327291222
gage2a,0.727839591540336,0.561772170428586,0.942998779397433,-2.40412547841877,0.0162112078038067,107,0.262137451239784
il17rb,1.24453828824176,1.04094003797944,1.48795847444416,2.40018889118464,0.0163866135079209,121,0.262137451239784
rasa1,0.795062173702215,0.659208485847498,0.95891341453139,-2.39880001556808,0.0164488954795322,120,0.262137451239784
shisa5,1.23426303925368,1.03907941461412,1.46611050959321,2.39644574903707,0.0165549439764173,110,0.262137451239784
mtif3,1.4358157765367,1.06806197164028,1.93019412626932,2.39612761900651,0.0165693201745518,107,0.262137451239784
wwp2,0.674616885706403,0.488519591881214,0.931606326631968,-2.39016362942433,0.0168408678143746,119,0.264167913783761
mvk,0.676697451222573,0.49121021818068,0.93222702529916,-2.38932944356578,0.0168791590394296,118,0.264167913783761
kifbp,0.617753498693722,0.415211713253211,0.919095904492486,-2.37615219655792,0.017494245282188,118,0.27233020329652
igsf3,0.749022427050694,0.589962173075438,0.95096706505821,-2.37276045322059,0.0176557103430896,118,0.273268525963144
il5ra,1.23053044783698,1.03657450892743,1.46077794699067,2.37043131305486,0.0177673448972442,122,0.273268525963144
defa1_defa1b,1.22191111136346,1.035133244623,1.44239089202208,2.36794223801411,0.0178873282853055,116,0.273268525963144
aplp1,0.795103009417043,0.657482804384574,0.961529018505341,-2.36453747968101,0.0180526006116252,122,0.273268525963144
cst3,1.30410157293716,1.04642264240072,1.62523328875554,2.36397578724608,0.0180799941846442,117,0.273268525963144
lypd3,0.805697209299624,0.673525157658994,0.96380660127007,-2.36320245390469,0.0181177689834719,119,0.273268525963144
megf10,0.806645736835008,0.674532057649927,0.964635168002329,-2.35450157956898,0.0185475648744957,120,0.278309079121943
eif4g1,0.586866264257826,0.375983511143959,0.916029564903088,-2.34604193225191,0.018973972704976,122,0.279855443207013
dkk1,1.29416803080566,1.04303264561512,1.60577034573224,2.3427387654507,0.0191427811417059,119,0.279855443207013
klk14,1.23391155140745,1.03486749368667,1.4712392900397,2.34182050724048,0.019189941349574,122,0.279855443207013
cst5,0.792557814849213,0.6522886788463,0.962990636277119,-2.33943841862662,0.0193127551653277,118,0.279855443207013
crygd,1.31136699744607,1.04490423305697,1.64578087406116,2.33898151205707,0.0193363903382895,107,0.279855443207013
pqbp1,0.762989361146124,0.608093767406418,0.957340457056667,-2.33652338564268,0.0194639802408246,116,0.279855443207013
bmp4,0.786917202033533,0.643485772682858,0.962319151633329,-2.3340785598673,0.019591608725701,119,0.279855443207013
ambn,1.13637667986664,1.0206737078306,1.26519567285556,2.33345844775572,0.0196240967419563,118,0.279855443207013
