cog_measure,protein,rho,pval,n,fdr
symbol_digit__n_correct__i2,nppc,0.0676253858158303,0.536137716922022,86,0.963775542256331
symbol_digit__n_correct__i2,ptprn2,0.0688391846677034,0.536326308089655,83,0.963775542256331
symbol_digit__n_correct__i2,rgmb,-0.0663634391493261,0.539003406218768,88,0.963775542256331
symbol_digit__n_correct__i2,ca6,0.0656221313293655,0.543556574690142,88,0.963775542256331
gcsvd_score,ca14,0.0306382847646355,0.544273921631695,394,0.633837984685012
symbol_digit__n_correct__i2,serpind1,-0.0650033154297365,0.54737173333379,88,0.963775542256331
symbol_digit__n_correct__i2,dner,-0.0646812332236496,0.549362589008965,88,0.963775542256331
symbol_digit__n_correct__i2,cntn5,0.0650320997918714,0.549546603155576,87,0.963775542256331
symbol_digit__n_correct__i2,chad,0.0647934990689197,0.551015324919472,87,0.963775542256331
symbol_digit__n_correct__i2,igsf3,0.0648831770670265,0.555218518908538,85,0.963775542256331
symbol_digit__n_correct__i2,setmar,-0.0629630541728925,0.571745333708958,83,0.979492959802985
gcsvd_score,tnxb,0.0285219571325055,0.572440597591718,394,0.660405015874078
gcsvd_score,susd2,0.0283866052650247,0.574265231194851,394,0.660405015874078
symbol_digit__n_correct__i2,ctsf,-0.0603930259386601,0.5761979595168,88,0.979492959802985
symbol_digit__n_correct__i2,chrdl2,0.0606482143806522,0.581374647784395,85,0.979492959802985
symbol_digit__n_correct__i2,hla_a,-0.0589180865804038,0.58556644336048,88,0.979492959802985
symbol_digit__n_correct__i2,clec10a,-0.0593194320381173,0.594241757335889,83,0.98504939954778
symbol_digit__n_correct__i2,lpo,0.0585376786896406,0.601397587879819,82,0.988010322945417
symbol_digit__n_correct__i2,crtac1,-0.0536983910071736,0.619265378990447,88,0.994486076127547
symbol_digit__n_correct__i2,col15a1,0.0536394034413778,0.62170588834759,87,0.994486076127547
symbol_digit__n_correct__i2,hpgds,-0.0547622430049561,0.622923837430855,83,0.994486076127547
symbol_digit__n_correct__i2,arl13b,0.0541285124610682,0.626958613210845,83,0.994486076127547
symbol_digit__n_correct__i2,tgfa,-0.0520993622282627,0.633786997617426,86,0.996434775394507
symbol_digit__n_correct__i2,ctsc,-0.0490849150589808,0.653572628606072,86,0.996434775394507
symbol_digit__n_correct__i2,wif1,-0.0477809696297384,0.658439260285318,88,0.996434775394507
symbol_digit__n_correct__i2,ckb,0.0478394954758475,0.659926073952857,87,0.996434775394507
symbol_digit__n_correct__i2,dkk4,-0.0489572234236122,0.660284041521123,83,0.996434775394507
symbol_digit__n_correct__i2,il15,-0.0480111373932835,0.660679579337662,86,0.996434775394507
gcsvd_score,magea3,0.0219890201660063,0.667528677680246,384,0.759759103715101
gcsvd_score,nptxr,0.0216098924535509,0.673331006395233,383,0.759759103715101
gcsvd_score,vat1,0.0215193530373424,0.675024603798865,382,0.759759103715101
gcsvd_score,chga,-0.0211739850354373,0.67717659244172,389,0.759759103715101
symbol_digit__n_correct__i2,lilrb4,-0.0435396261642161,0.692356066194458,85,0.996448747676304
symbol_digit__n_correct__i2,mansc1,-0.0423318291583194,0.695349777085198,88,0.996448747676304
gcsvd_score,cntn5,0.0196244443135122,0.698872344879955,391,0.774964072833388
symbol_digit__n_correct__i2,hla_e,-0.0422380654812191,0.699392726196906,86,0.996448747676304
gcsvd_score,fgfbp2,0.0195870422378885,0.700155482601982,389,0.774964072833388
gcsvd_score,lrtm2,-0.0192429429642423,0.703364131321608,394,0.774964072833388
symbol_digit__n_correct__i2,klk6,0.0407153918656366,0.706441650482699,88,0.996448747676304
symbol_digit__n_correct__i2,fam3b,-0.041350774025043,0.707101743154504,85,0.996448747676304
symbol_digit__n_correct__i2,smoc2,-0.0402783865797028,0.709451013264875,88,0.996448747676304
symbol_digit__n_correct__i2,galnt7,-0.0395965734188239,0.718997990380512,85,0.996448747676304
gcsvd_score,fam3b,-0.018212727812484,0.722718928270334,382,0.787236413142933
gcsvd_score,nefl,0.0181416653138539,0.723059531636716,384,0.787236413142933
symbol_digit__n_correct__i2,mmp1,-0.0380341953245028,0.731229658528533,84,0.996448747676304
symbol_digit__n_correct__i2,itgb2,-0.0360238891510343,0.741936329335506,86,0.996448747676304
symbol_digit__n_correct__i2,mia,0.0352928717082294,0.744088158133241,88,0.996448747676304
symbol_digit__n_correct__i2,fcrl6,0.0355657408272137,0.745105634216728,86,0.996448747676304
symbol_digit__n_correct__i2,epha1,-0.0343387079335347,0.750778144481644,88,0.996448747676304
symbol_digit__n_correct__i2,tnfrsf6b,-0.0341301771866111,0.759365316982323,83,0.996448747676304
symbol_digit__n_correct__i2,megf10,-0.0329753366731765,0.763103487301956,86,0.996448747676304
gcsvd_score,cd160,0.0149416832221306,0.767491172513626,394,0.830696327897101
symbol_digit__n_correct__i2,ada,-0.0318480917716888,0.768326552968014,88,0.996448747676304
symbol_digit__n_correct__i2,dpp6,0.0318731256528656,0.772138839366163,85,0.996448747676304
gcsvd_score,il17rb,0.0145334547055816,0.77707119296179,382,0.836146780730815
gcsvd_score,ly9,0.0141250772945326,0.782620843829237,384,0.836878921079752
symbol_digit__n_correct__i2,neo1,0.0295164511095352,0.784861439420311,88,0.996448747676304
gcsvd_score,clec10a,0.0138799826208252,0.786848116015201,382,0.836878921079752
symbol_digit__n_correct__i2,alpp,-0.0294574462505485,0.788990965246785,85,0.996448747676304
symbol_digit__n_correct__i2,itga11,0.0268305883126274,0.806286222725811,86,0.996448747676304
symbol_digit__n_correct__i2,mstn,-0.0258868360464074,0.815186131573226,84,0.996448747676304
