cog_measure,protein,rho,pval,n,fdr
gcsvd_score,acp5,0.199151923711026,8.16320935586375e-05,386,0.000273096458450714
gcsvd_score,prss8,0.197729847060461,8.63262646492847e-05,389,0.000283643440990507
gcsvd_score,lilrb4,0.191535878495226,0.000162496221289722,383,0.000524549205566822
gcsvd_score,igsf21,0.190418227328887,0.000203935708259054,376,0.000646968453787345
gcsvd_score,mstn,0.189526128117974,0.000245837619587153,370,0.000766680033966715
gcsvd_score,itgb1,0.185657475953117,0.000258868244464523,383,0.000793862616357871
gcsvd_score,adgre5,0.180426701904856,0.000360749741465975,387,0.00108816315458589
gcsvd_score,cd8a,0.177550349575849,0.000412124957288811,392,0.0012230805184055
gcsvd_score,muc13,0.178921289024539,0.000419057450826525,385,0.0012239138246362
gcsvd_score,megf10,0.173008750698387,0.000580772581343872,392,0.00166972117136363
gcsvd_score,sfrp4,0.17504912306136,0.00062966448560698,378,0.00178243485156437
gcsvd_score,mepe,0.170222822175243,0.000713839095755709,392,0.00199009687301592
gcsvd_score,rtbdn,0.171932229602348,0.000739406990266887,382,0.00203061024192697
gcsvd_score,dkk4,0.165334910596592,0.00119981855504256,381,0.00324656785482104
gcsvd_score,il2ra,0.161760377060578,0.00155743703224295,380,0.00415316541931453
gcsvd_score,adgrg2,-0.157958747419791,0.00193065365617377,383,0.00507486103908533
gcsvd_score,scrg1,0.156305166929916,0.00198863590512319,389,0.00515364797947419
symbol_digit__n_correct__i2,igsf21,0.328817665181415,0.0021221432014944,85,0.390474349074969
gcsvd_score,myoc,0.153570125253114,0.00223753276636922,394,0.00571813929183245
gcsvd_score,plaur,0.153234474760062,0.00253892912440233,386,0.00639949258753464
gcsvd_score,ckb,-0.150053526437976,0.00300907942301823,389,0.00748203532209937
gcsvd_score,cd302,0.150546229224104,0.00318201864869717,382,0.00780655241813705
gcsvd_score,bag3,0.150266446396892,0.00323958775907578,382,0.00784321246934135
gcsvd_score,fap,0.14691113847883,0.00359707081870827,391,0.00859559780054963
gcsvd_score,siglec1,0.145679597549924,0.0037561647200326,394,0.00886069626264099
gcsvd_score,robo4,0.147193962810872,0.00423255197424437,376,0.00985809573748056
gcsvd_score,il6,0.145274868870441,0.00443870957901854,382,0.0102090320317426
gcsvd_score,trem2,0.139597984483803,0.00562905213952369,392,0.0127869826379304
gcsvd_score,gpc1,0.13591219253982,0.00689743846909241,394,0.0154771790038171
gcsvd_score,tnfrsf6b,0.134230199082331,0.00861906938957683,382,0.0191073345503872
gcsvd_score,igfbp2,-0.132246871774841,0.00884081840361517,391,0.0193656022174428
symbol_digit__n_correct__i2,snx18,0.270346669198945,0.0108516440718248,88,0.621603224632368
symbol_digit__n_correct__i2,itgb5,-0.264368587981635,0.0128106257998578,88,0.621603224632368
gcsvd_score,mxra8,-0.122456293461583,0.0172231895120699,378,0.0372831396496572
symbol_digit__n_correct__i2,magea3,-0.253080163537921,0.0173584933243772,88,0.621603224632368
gcsvd_score,pi3,0.122850977671889,0.0177652292118916,372,0.0380093276161402
gcsvd_score,dpp4,0.121327482381954,0.0187561819278313,375,0.039668246835873
symbol_digit__n_correct__i2,dcbld2,-0.248691768295422,0.0194697003105866,88,0.621603224632368
gcsvd_score,mertk,0.116884164124363,0.0203045161541828,394,0.0423319402160509
gcsvd_score,l1cam,0.116726137701158,0.0204757754305898,394,0.0423319402160509
gcsvd_score,nell2,0.11608510027161,0.021183426655717,394,0.043308338940577
gcsvd_score,hrg,0.115901980963556,0.0218937744694351,391,0.0442687307953412
gcsvd_score,chrdl2,0.116473689423895,0.0226225923155361,383,0.0452451846310721
gcsvd_score,wif1,0.114115175824435,0.0234924690212855,394,0.0464797236550165
symbol_digit__n_correct__i2,cd302,-0.245253726895849,0.0236776972457999,85,0.621603224632368
gcsvd_score,gfap,0.11623165456645,0.0238223477256359,378,0.0466309785267767
gcsvd_score,cr1,0.111659602965987,0.0272606641921189,391,0.0527996022247355
gcsvd_score,klk6,0.110242420805984,0.0286717912761483,394,0.0549542666126175
symbol_digit__n_correct__i2,ssbp1,0.233341503282858,0.0326673231476949,84,0.621603224632368
gcsvd_score,cda,0.10842782291565,0.03274564774116,388,0.0621154555090045
gcsvd_score,obp2b,0.107713507388356,0.0358243560528408,380,0.0672620562624767
gcsvd_score,gzma,0.105285178586929,0.0367058841425378,394,0.0682210371942116
gcsvd_score,lamp3,0.10453749510137,0.0383165279371017,393,0.0705024114042672
gcsvd_score,hpgds,0.105989915926852,0.0394311025076148,378,0.0718348798158527
symbol_digit__n_correct__i2,bag3,-0.225220076868315,0.0406466986851604,83,0.621603224632368
gcsvd_score,itgam,0.10197070541482,0.0430828897308348,394,0.0777181540242511
symbol_digit__n_correct__i2,robo4,0.219361011243961,0.0436847200253496,85,0.621603224632368
symbol_digit__n_correct__i2,sez6l2,0.217740885456354,0.0453023468019753,85,0.621603224632368
