protein,logFC,AveExpr,t,P.Value,fdr,comparison
egfr,0.0310703386648857,-0.000608985632244357,1.89190404003283,0.058509743872018,0.966161397369632,hla_interaction_all
nudc,-0.0494582606511031,-0.0710735023671754,-1.88784976120735,0.0590521120360534,0.966161397369632,hla_interaction_all
kir2dl2,-0.138677367140615,0.00474454988956612,-1.88431005504594,0.059529048731546,0.966161397369632,hla_interaction_all
vwa5a,-0.125897217035443,0.156136296500284,-1.88400525668397,0.059570266002962,0.966161397369632,hla_interaction_all
inpp5j,-0.0679592201011091,0.0244604633998823,-1.88256181627936,0.0597657812491227,0.966161397369632,hla_interaction_all
man1a2,0.04036063293168,-0.00130838360517356,1.87950987198065,0.0601809225090345,0.966161397369632,hla_interaction_all
dffa,-0.0520241215271207,0.00105909731720149,-1.87899802552262,0.0602507800813327,0.966161397369632,hla_interaction_all
kiaa1549l,-0.0451135684184492,0.000896239139530852,-1.87784697412692,0.0604081229094588,0.966161397369632,hla_interaction_all
sag,-0.0819356482120177,0.010569843052125,-1.87528811481697,0.0607591262969338,0.966161397369632,hla_interaction_all
mtpn,0.0567007160515418,0.0151444030093446,1.87051892871748,0.0614178343116435,0.966161397369632,hla_interaction_all
vegfc,-0.0852706820522797,-0.0231556559025934,-1.86957081341694,0.0615494877329527,0.966161397369632,hla_interaction_all
rcor1,-0.0771409599580198,0.0700064208746143,-1.86357842233916,0.0623869944967083,0.966161397369632,hla_interaction_all
ogn,-0.0720169715860782,0.0081442519952454,-1.85479528333544,0.0636315561868053,0.966161397369632,hla_interaction_all
crh,-0.159505820800847,0.0390831347866818,-1.85263782230071,0.063940384136014,0.966161397369632,hla_interaction_all
flt3lg,-0.0618708969993617,-0.00174074592319834,-1.85175483577648,0.0640671349764214,0.966161397369632,hla_interaction_all
snap29,-0.0655089986878473,-0.0487428057173092,-1.85116231530125,0.0641523063037534,0.966161397369632,hla_interaction_all
mamdc4,0.0878883583481632,0.0330847964855232,1.84881899330283,0.0644900615038686,0.966161397369632,hla_interaction_all
tpsd1,0.0582435877996086,0.034677215970965,1.83667621442135,0.0662638506468523,0.966161397369632,hla_interaction_all
lilrb5,0.129100151823417,-0.143787018532931,1.83637578586254,0.0663082410613837,0.966161397369632,hla_interaction_all
