logFC,AveExpr,t,P.Value,adj.P.Val,B,protein,fdr,direction,label_protein
0.196900575828623,0.103655882352941,2.71781182660825,0.00750891551129784,0.344357211090204,-2.48112402432424,plaur,0.344357211090204,NS,
0.13930302368171,-0.0571345454545454,2.71492637549873,0.00757089024725972,0.344357211090204,-2.48746013428949,stab2,0.344357211090204,NS,
0.145736958825035,0.0492,2.7046068750688,0.00779635263451641,0.345108872343785,-2.51007252412062,ca12,0.345108872343785,NS,
0.605406734577161,-0.0353886554621849,2.70082466410617,0.00788050004829441,0.345108872343785,-2.51834140587621,agr2,0.345108872343785,NS,
0.171549702136444,0.00374297520661157,2.69803569578314,0.00794307607249521,0.345108872343785,-2.52443233636923,fam3c,0.345108872343785,NS,
0.1692495759734,0.0240258333333333,2.68975240531432,0.00813159220943771,0.346473822950934,-2.54249012411227,il10rb,0.346473822950934,NS,
0.204253240622822,0.0123352459016393,2.68573159178477,0.00822455364575872,0.346473822950934,-2.55123811419194,lrp11,0.346473822950934,NS,
-0.366849288666939,0.168649541284404,-2.68062224741901,0.00834407020938114,0.346473822950934,-2.56233789156242,gabarapl1,0.346473822950934,NS,
-0.258268948560617,0.273851260504202,-2.67612443090586,0.00845058104758375,0.346473822950934,-2.57209385948295,il1rap,0.346473822950934,NS,
0.154384190865395,0.0115987394957983,2.66218710169103,0.00878848458906064,0.35532331442716,-2.60223349005542,efna4,0.35532331442716,NS,
0.105998949208802,-0.0172294642857143,2.65433892773334,0.00898409211400434,0.355555254416023,-2.61914457481644,cd59,0.355555254416023,NS,
0.135459086935262,-0.00702719298245614,2.62909961466131,0.00964011573685667,0.355555254416023,-2.67323266705005,hspg2,0.355555254416023,NS,
0.231069315655138,0.0826722222222223,2.62579516397876,0.00972913218532889,0.355555254416023,-2.68028052511562,cd207,0.355555254416023,NS,
0.14686991034182,-0.133899579831933,2.62333878654446,0.00979578264810778,0.355555254416023,-2.68551453002536,setmar,0.355555254416023,NS,
0.772751757591805,-0.0345941176470589,2.62038315308775,0.00987652542590681,0.355555254416023,-2.69180662948011,oxt,0.355555254416023,NS,
0.185034106457541,0.0975309734513274,2.61837805075365,0.00993164248466016,0.355555254416023,-2.69607163832265,lcn2,0.355555254416023,NS,
