logFC,AveExpr,t,P.Value,adj.P.Val,B,protein,fdr,sex_group,analysis
0.0370835507906319,0.0532024911032029,1.08210849596505,0.279653817992956,0.951197670715463,-5.15848098799038,tnfrsf12a,0.951197670715463,Male,prs_ms_interaction
-0.0305787108225278,0.0268692,-1.08075605996338,0.280254625357552,0.951197670715463,-5.1597748424301,ngfr,0.951197670715463,Male,prs_ms_interaction
0.0572343759491906,0.0939541322314049,1.08003907624536,0.280573495167138,0.951197670715463,-5.16046011622434,kcnc4,0.951197670715463,Male,prs_ms_interaction
0.0704962246307231,0.0685146,1.0775000086184,0.281704700618873,0.951197670715463,-5.16288324839739,smtn,0.951197670715463,Male,prs_ms_interaction
-0.0339262802997262,-0.0927203041144902,-1.0774193367958,0.281740692306061,0.951197670715463,-5.16296014362858,efemp1,0.951197670715463,Male,prs_ms_interaction
0.0656016490687359,0.152498148148148,1.07679869279001,0.282017696864615,0.951197670715463,-5.16355154097097,ank2,0.951197670715463,Male,prs_ms_interaction
0.026105753085569,-0.0103254054054054,1.07447381142797,0.283056978935413,0.951197670715463,-5.1657638511068,ggt5,0.951197670715463,Male,prs_ms_interaction
0.0344561390585304,-0.0267666666666667,1.07357119038314,0.283461174149186,0.951197670715463,-5.16662148415507,copb2,0.951197670715463,Male,prs_ms_interaction
-0.0471964811355289,-0.270233932135729,-1.07296709329026,0.283731908672224,0.951197670715463,-5.16719507129949,shbg,0.951197670715463,Male,prs_ms_interaction
0.0428520124123076,0.0796452525252526,1.07277326288597,0.283818813654177,0.951197670715463,-5.16737904418035,cd82,0.951197670715463,Male,prs_ms_interaction
0.0419339119989014,-0.0464534000000001,1.07100195250341,0.284613827956443,0.951197670715463,-5.16905873909245,phldb1,0.951197670715463,Male,prs_ms_interaction
-0.0479802389105473,0.129635996409336,-1.07051628838391,0.284832071398381,0.951197670715463,-5.16951880103055,tpp1,0.951197670715463,Male,prs_ms_interaction
-0.0179963891116132,0.00294648760330579,-1.07044901843174,0.284862309520484,0.951197670715463,-5.16958250841133,robo4,0.951197670715463,Male,prs_ms_interaction
0.0413631980184708,0.191366252587992,1.06988799435458,0.285114576953958,0.951197670715463,-5.17011366579434,gchfr,0.951197670715463,Male,prs_ms_interaction
-0.0500538632298601,-0.0111373029772329,-1.06987498676134,0.285120427682928,0.951197670715463,-5.17012597762662,msr1,0.951197670715463,Male,prs_ms_interaction
-0.139565523892475,-0.29327,-1.06983535926205,0.285138252370428,0.951197670715463,-5.17016348457861,siglec5,0.951197670715463,Male,prs_ms_interaction
-0.0378902255231354,0.0960401639344262,-1.06735337944659,0.28625616751533,0.951197670715463,-5.17250989233889,tdo2,0.951197670715463,Male,prs_ms_interaction
-0.0558354209445749,0.101805061983471,-1.06657046394158,0.286609417625972,0.951197670715463,-5.1732489172518,syngap1,0.951197670715463,Male,prs_ms_interaction
0.167376314371717,0.447833535353536,1.06569496179543,0.287004792096179,0.951197670715463,-5.17407469889088,casp4,0.951197670715463,Male,prs_ms_interaction
-0.0259091456004225,0.00191059063136456,-1.06543551721252,0.287122027458783,0.951197670715463,-5.17431927971134,penk,0.951197670715463,Male,prs_ms_interaction
-0.0440426792320389,0.0348409498207886,-1.06447753448407,0.28755519235419,0.951197670715463,-5.17522186527762,atp6v1d,0.951197670715463,Male,prs_ms_interaction
-0.0618821185297203,0.0856287253141831,-1.06437974255816,0.287599435154224,0.951197670715463,-5.17531395672785,hsp90b1,0.951197670715463,Male,prs_ms_interaction
-0.070990069407723,0.121026534296029,-1.06320115266621,0.288133012258115,0.951197670715463,-5.17642318183639,tslp,0.951197670715463,Male,prs_ms_interaction
0.0455019748858816,0.115667140319716,1.06196929012116,0.28869142214177,0.951197670715463,-5.17758123647414,parp1,0.951197670715463,Male,prs_ms_interaction
