protein,logFC,AveExpr,t,P.Value,fdr,comparison
zhx2,0.106189740847652,0.0328424245374941,2.21093979689867,0.0270447102115037,0.967778100000697,hla_interaction_pre
tyrp1,-0.233296714207702,-0.0412147066873707,-2.20621565990783,0.0273736295822698,0.967778100000697,hla_interaction_pre
ccdc134,0.144722876955444,0.015048287483845,2.19208430488334,0.0283782127197006,0.967778100000697,hla_interaction_pre
lpo,0.260895057686217,0.0321915747438928,2.19111439747194,0.0284483125637578,0.967778100000697,hla_interaction_pre
doc2b,-0.131259081171114,0.0226819623205181,-2.18333578526278,0.0290159250060758,0.967778100000697,hla_interaction_pre
colec12,-0.0983557842732125,0.00588318253039724,-2.17288962600049,0.0297935081229016,0.967778100000697,hla_interaction_pre
mtif3,-0.180915672016008,-0.00703888098412353,-2.16982559817262,0.0300249573033502,0.967778100000697,hla_interaction_pre
klk15,0.190082443900826,0.0109686045106183,2.16200736619416,0.0306225415681109,0.967778100000697,hla_interaction_pre
il9,-0.204457400193451,0.0812757332730547,-2.15253262590152,0.0313604053450246,0.967778100000697,hla_interaction_pre
ahsa1,0.227911522738986,0.0907342206688575,2.14026590982231,0.0323383163329562,0.967778100000697,hla_interaction_pre
scara5,-0.116373098065478,-0.00651534744140267,-2.13879923076236,0.0324569714932364,0.967778100000697,hla_interaction_pre
nos1,0.216996090330498,0.0254881825209738,2.13350615159443,0.032888291319386,0.967778100000697,hla_interaction_pre
evi2b,-0.140152506153088,0.0328045004886117,-2.11570028748378,0.034375450139555,0.967778100000697,hla_interaction_pre
actn2,0.210753150413384,0.104647416704764,2.11469346303871,0.0344612304031311,0.967778100000697,hla_interaction_pre
echdc3,0.252847775651937,0.107280672620842,2.11367332027237,0.0345483318351298,0.967778100000697,hla_interaction_pre
il17f,0.317112565733087,0.168957714415897,2.1053277443554,0.0352679789067238,0.967778100000697,hla_interaction_pre
htr1a,0.270127689093083,0.191875207437095,2.10469405543207,0.0353231413537445,0.967778100000697,hla_interaction_pre
apol1,0.226136179939176,0.0973107855664466,2.10412111141519,0.035373079339556,0.967778100000697,hla_interaction_pre
tnfsf8,0.12579667046734,0.00603517454073583,2.102781547695,0.0354900712926755,0.967778100000697,hla_interaction_pre
crisp2,0.245611820050788,-0.06146089009231,2.09786920890566,0.0359219239428295,0.967778100000697,hla_interaction_pre
