protein,carrier_mean,noncarrier_mean,pval,fdr,delta,logFC,sig_label
thy1,-0.0533042857142857,-0.0233303347280335,0.507098482022731,0.912759532890162,-0.0299739509862522,-0.0299739509862522,""
spock1,-0.0502136929460581,-0.072824358974359,0.524659141882557,0.912759532890162,0.0226106660283009,0.0226106660283009,""
st6gal1,0.0395091093117409,0.0419781512605042,0.528307290807836,0.912759532890162,-0.00246904194876332,-0.00246904194876332,""
amy2b,-0.0931163755458515,-0.142504504504505,0.530489365704184,0.912759532890162,0.049388128958653,0.049388128958653,""
blmh,-0.108212145748988,-0.0751481092436975,0.53810180299461,0.912759532890162,-0.0330640365052904,-0.0330640365052904,""
mertk,0.0351358299595142,0.0587514583333333,0.542337944230876,0.912759532890162,-0.0236156283738192,-0.0236156283738192,""
serpind1,0.0341669811320755,0.0600739910313901,0.550727832616965,0.912759532890162,-0.0259070098993147,-0.0259070098993147,""
lrrn1,-0.0971615702479339,-0.133436595744681,0.550970314792161,0.912759532890162,0.036275025496747,0.036275025496747,""
ptprr,-0.0232075471698113,-0.0461694196428571,0.554364491327853,0.912759532890162,0.0229618724730458,0.0229618724730458,""
itgb5,-0.123187396694215,-0.0966289915966387,0.563364101651389,0.912759532890162,-0.0265584050975762,-0.0265584050975762,""
cd209,-0.0536958847736626,-0.0307289361702128,0.56871138929504,0.912759532890162,-0.0229669486034498,-0.0229669486034498,""
igsf3,-0.0739429752066116,-0.0321141025641026,0.570343713059339,0.912759532890162,-0.041828872642509,-0.041828872642509,""
eno3,-0.102240487804878,-0.103799541284404,0.582390330539962,0.912759532890162,0.00155905347952562,0.00155905347952562,""
megf10,-0.0820331950207469,-0.113376680672269,0.586213112118258,0.912759532890162,0.031343485651522,0.031343485651522,""
prr4,-0.00862296650717707,-0.0294152777777778,0.588984133072178,0.912759532890162,0.0207923112706007,0.0207923112706007,""
rtbdn,-0.0448140495867769,-0.0515897435897436,0.597808976632727,0.912759532890162,0.00677569400296674,0.00677569400296674,""
lamp3,0.11025081300813,0.151405,0.605955398166733,0.912759532890162,-0.04115418699187,-0.04115418699187,""
cntn5,-0.0346318367346939,-0.0125067510548523,0.606238915089165,0.912759532890162,-0.0221250856798416,-0.0221250856798416,""
