icd10,block,chapter,OR,OR_lo,OR_hi,beta,se,pval,n_ms_pre,n_hc_pre,pct_ms,pct_hc,fdr
Z51,Z5,Z,1.25938915139901,0.622638457950644,2.54732263066737,0.23062680293266,0.359395946886459,0.521063609491405,8,589,1.60320641282565,1.23219179515073,0.717060013061566
N94,N9,N,0.822306506939111,0.448884367835739,1.50637455836252,-0.195642073940267,0.308850960778913,0.526438907500016,11,924,2.20440881763527,1.93301395368298,0.717871237500022
J45,J4,J,0.914393495847627,0.688225559463971,1.21488580851263,-0.0894942795543635,0.14497161590141,0.537021850597598,54,5445,10.8216432865731,11.3909750842033,0.725705203510268
K26,K2,K,1.27425755638492,0.565772653963094,2.86993778972919,0.242363700285109,0.41424829244844,0.558501539574507,6,579,1.20240480961924,1.21127173071693,0.729619861559649
N84,N8,N,0.841352156139864,0.471205526685329,1.50226050110384,-0.172744971648442,0.295773441891033,0.559190100997155,12,1107,2.40480961923848,2.31585113282149,0.729619861559649
M13,M1,M,0.829309245849559,0.441534293520168,1.5576453184834,-0.187162158606592,0.321600728740158,0.560586506106482,10,1183,2.00400801603206,2.47484362251836,0.729619861559649
R06,R0,R,1.27122593097107,0.564989455472191,2.86025757104207,0.239981734845305,0.413739768232772,0.561893968170285,6,505,1.20240480961924,1.05646325390682,0.729619861559649
L70,L7,L,0.789283424215083,0.350780845042003,1.77594738294815,-0.236629803102659,0.413757051283355,0.567386210905607,6,610,1.20240480961924,1.27612393046171,0.729619861559649
L60,L6,L,0.773308528085982,0.31916841637168,1.87363801972847,-0.257077179255215,0.451509788393254,0.569103492016526,5,654,1.00200400801603,1.36817221397042,0.729619861559649
N83,N8,N,0.848140753398214,0.463576281141172,1.55172463915562,-0.164708674182939,0.30820186580517,0.593052257193469,11,944,2.20440881763527,1.97485408255057,0.7538799879578
G56,G5,G,1.1469158156507,0.682881931208795,1.92627133340787,0.137076440205806,0.264545786981243,0.604348235434117,15,1211,3.0060120240481,2.53341980293299,0.761783490043004
I51,I5,I,1.18856059226846,0.587966890475953,2.40264597271795,0.172742988654416,0.359095729611065,0.630480986874211,8,724,1.60320641282565,1.51461266500701,0.782837781935273
M81,M8,M,0.842918679828288,0.415516778764268,1.7099475571516,-0.170884790842972,0.360891577834113,0.635851305512526,8,884,1.60320641282565,1.84933369594778,0.782837781935273
K58,K5,K,0.908793659280731,0.610224064717685,1.35344697612173,-0.0956372080634337,0.203210133666945,0.637903494072002,26,2408,5.21042084168337,5.03755151565867,0.782837781935273
H04,H0,H,0.81038620405593,0.334063669250539,1.96587016240803,-0.210244349815555,0.452132310131727,0.641926981186924,5,587,1.00200400801603,1.22800778226397,0.782837781935273
N81,N8,N,1.13568898255655,0.648509569748875,1.98885186166147,0.127239499852778,0.285876540021782,0.65625797442693,13,945,2.60521042084168,1.97694608899395,0.793860452935803
E11,E1,E,0.870943693156811,0.430636991563633,1.76144393424117,-0.138177950422722,0.359342775661757,0.700585927173115,8,1129,1.60320641282565,2.36187527457585,0.839330601853524
K59,K5,K,1.1369581739394,0.58492864046171,2.20996853268675,0.128356427758786,0.339092780135829,0.70503770555696,9,711,1.80360721442886,1.48741658124307,0.839330601853524
N32,N3,N,1.14497628535455,0.539955478421132,2.42792368337048,0.135383925310975,0.383496181378591,0.724069335004927,7,688,1.40280561122245,1.43930043304533,0.840873270390213
N40,N4,N,1.14998682460258,0.526267606480646,2.51292247608284,0.13975048544221,0.398824450761287,0.726034014832103,7,1143,1.40280561122245,2.39116336478316,0.840873270390213
Z03,Z0,Z,0.867645022181281,0.386238694384836,1.94907422653485,-0.141972608589632,0.412921996331634,0.730978438482052,6,726,1.20240480961924,1.51879667789377,0.840873270390213
I80,I8,I,0.89737764062627,0.477743333878933,1.6856051624156,-0.108278501478013,0.321634258999356,0.736379990183614,10,1110,2.00400801603206,2.32212715215163,0.840873270390213
N87,N8,N,0.897395564379626,0.47606580117961,1.69161237159398,-0.108258528198596,0.323439116496832,0.737843340557554,10,776,2.00400801603206,1.62339700006276,0.840873270390213
N93,N9,N,1.10220561151097,0.616777133391716,1.96968587886138,0.0973132736452621,0.296204491855167,0.742507872082711,12,781,2.40480961923848,1.63385703227966,0.840873270390213
G43,G4,G,0.932843326366507,0.611456406328644,1.42315406714182,-0.0695180168160822,0.21550693842472,0.747014085269573,23,2020,4.60921843687375,4.22585301562729,0.840873270390213
B06,B0,B,1.09684720241506,0.61555882540849,1.95444161595341,0.0924398848233895,0.294726861928098,0.753789960768131,12,921,2.40480961923848,1.92673793435284,0.840873270390213
R07,R0,R,0.927893695833716,0.577838966629655,1.49001150924419,-0.0748381046608301,0.241643851486389,0.756785943351192,18,2000,3.60721442885772,4.18401288675969,0.840873270390213
F17,F1,F,1.06600020018682,0.699604576253425,1.62428386744388,0.0639135135361517,0.214874238853311,0.766125919968068,23,2175,4.60921843687375,4.55011401435116,0.844991823494192
N80,N8,N,0.918313387856005,0.487121972049952,1.73118751914787,-0.0852165655121587,0.323481717240571,0.792214937308781,10,759,2.00400801603206,1.5878328905253,0.86239236663502
N85,N8,N,0.889941055018415,0.366013144643596,2.16384327447718,-0.116600048765664,0.453309175067982,0.797009179247716,5,435,1.00200400801603,0.910022802870233,0.86239236663502
B34,B3,B,1.10145446682453,0.519612511778318,2.33482049601856,0.0966315489791788,0.383318093785631,0.800969703200559,7,571,1.40280561122245,1.19453567916989,0.86239236663502
R11,R1,R,0.894358763750225,0.368777414541429,2.16899833546334,-0.111648282574595,0.451996809692755,0.804899542192685,5,515,1.00200400801603,1.07738331834062,0.86239236663502
D069,D0,D,1.11221226168022,0.456236208988316,2.71135015297201,0.106351060418542,0.454640643793747,0.815044488837469,5,311,1.00200400801603,0.650614003891132,0.867068605146244
Z53,Z5,Z,1.06366163022142,0.622931494140881,1.81621265620169,0.061717323632226,0.27297757710392,0.821131925741332,14,1367,2.80561122244489,2.85977280810025,0.867392879304224
I48,I4,I,0.932331570346254,0.413202523147764,2.10367098061854,-0.0700667653908111,0.415178913267827,0.865983201885527,6,874,1.20240480961924,1.82841363151399,0.908373987991812
N20,N2,N,0.944526061062817,0.389204910292229,2.29218454452951,-0.0570719999778098,0.452335363469097,0.899595875599795,5,633,1.00200400801603,1.32424007865944,0.93707903708312
K92,K9,K,1.05101138743534,0.433186376047398,2.54999925574275,0.049752926693721,0.452214357454582,0.912392981956622,5,509,1.00200400801603,1.06483127968034,0.940185694946785
I73,I7,I,1.04138877606457,0.463099815338396,2.34180741817142,0.0405551839514717,0.413452983774498,0.921861633221219,6,591,1.20240480961924,1.23637580803749,0.940185694946785
E05,E0,E,0.961341747540439,0.427219994989327,2.16323666121291,-0.0394253166410905,0.413791260734731,0.924093799890917,6,527,1.20240480961924,1.10248739566118,0.940185694946785
B26,B2,B,1.0207295384475,0.643107832923223,1.62008412480901,0.0205176054104554,0.235694118051034,0.930630310297981,19,1678,3.80761523046092,3.51038681199138,0.940185694946785
B01,B0,B,1.01363552165854,0.735946469084307,1.39610286064199,0.0135433944566421,0.163337392641545,0.933917790313807,42,3663,8.41683366733467,7.66301960210037,0.940185694946785
Z90,Z9,Z,0.998874406775833,0.411191464425655,2.42648538900342,-0.00112622717998243,0.452841885508345,0.998015646561692,5,459,1.00200400801603,0.960230957511349,0.998015646561692
