protein,log2fc,se,t_stat,p_value,fdr,n_cases,n_controls,mean_cases,mean_controls,significant_fdr05,significant_fdr10
tnfsf14,0.044282114668052736,0.02303065280475407,1.4032125364978598,0.16055990129557796,0.8766811835375846,484,47801,0.04352985537190083,0.019489727202359784,False,False
hgfac,-0.037769700709637075,0.013860737773866367,-1.4030825805841514,0.16059957187275137,0.8766811835375846,444,41763,-0.053551351351351355,-0.01490425017359864,False,False
hla_e,0.036269676713723255,0.014399653501253693,1.401397093749015,0.1611017474480132,0.8777786800204831,489,48109,0.03106134969325153,0.019377634122513455,False,False
areg,0.044097298985440944,0.023110281879720466,1.3957858215906025,0.16278539999492322,0.8852974645246291,486,47948,0.10776090534979424,0.06749504984566615,False,False
tpsd1,0.040495722560941465,0.018015711900326446,1.3861434043971483,0.16571039308782343,0.8963945339905769,448,42045,0.06769464285714286,0.03574774646212392,False,False
nfasc,-0.03548630429911497,0.014091466312554646,-1.386082545671113,0.16572798261149868,0.8963945339905769,497,48696,-0.05714688128772636,0.012253213816329883,False,False
cxcl6,-0.05292372719693653,0.03164088567629594,-1.3860155994909598,0.16574842326618214,0.8963945339905769,497,48696,-0.05616368209255534,0.022018196566453097,False,False
cd300lf,0.0525636277512372,0.03136231430597652,1.3843954803191643,0.16624368801021217,0.8974080565736453,494,48576,-0.11478218623481783,-0.13116270174571804,False,False
cntnap4,-0.07759382722841615,0.05102903549489127,-1.3832230464655755,0.16660394478262405,0.8976903863980575,436,40966,0.2606483944954129,0.3487672728604208,False,False
anxa1,-0.04398769744647678,0.021780988177778356,-1.3792458840593593,0.16782640427043738,0.8996608799580607,431,40982,-0.07479767981438515,-0.0009293214093992481,False,False
naa80,0.0550348793552889,0.03239754525390267,1.3791241519569062,0.16786392904327624,0.8996608799580607,436,40966,0.013896330275229343,0.025804329199824245,False,False
tpt1,-0.054206472984102964,0.0327784163752849,-1.3790183807765446,0.1678955467228765,0.8996608799580607,487,47262,0.03820636550308008,0.0865784901189116,False,False
fzd10,-0.05137282657354034,0.02917441737832606,-1.3759427718342716,0.1688467952230784,0.9020440624413729,436,40966,0.027737614678899087,0.07500367866035249,False,False
tgfbi,-0.03505078213122767,0.013586421874469823,-1.3755763724194294,0.16895919660136866,0.9020440624413729,477,47891,-0.051805660377358495,0.005368325990269571,False,False
cxcl14,0.052290510792674744,0.03129500231807072,1.3731812851403187,0.1697024447912038,0.9043558072511135,487,47262,0.048812320328542096,0.06223255469510388,False,False
tnfrsf12a,0.037810762740835106,0.017311962951176058,1.3713488449268876,0.17027254129980768,0.9057380618411303,490,48316,-0.0004269387755102015,0.01640689937080884,False,False
cep43,0.04250864393870135,0.02218518624262066,1.367247249649117,0.1715543076658645,0.9091776170127494,469,46903,0.045377718550106604,0.039840959000490374,False,False
dhodh,0.04501414723426534,0.023248062700835136,1.3658130435306932,0.17200511071555713,0.9091776170127494,428,40756,0.08490607476635517,0.040150810923545,False,False
taldo1,-0.03691197351828332,0.014174107088629524,-1.3652987764222357,0.17216640680447312,0.9091776170127494,441,41964,-0.05569274376417233,0.02453342627013631,False,False
ccl23,0.04083276969517917,0.020912011104622322,1.3631379677296283,0.17284531469826928,0.9091776170127494,491,48370,0.004104378818737276,-0.0018639942112879887,False,False
reg3g,0.04110441941882375,0.01946546855301739,1.3630884976457,0.17286186527518507,0.9091776170127494,445,41927,0.03442921348314608,0.012618161328022515,False,False
pkd1,-0.03591638004139765,0.012907371772174738,-1.3627283439354163,0.1729753518491279,0.9091776170127494,445,42119,-0.0545094382022472,-0.0028786901398418765,False,False
akr1c4,-0.04726221110960562,0.027072510239691736,-1.3623229045516552,0.17310242793896255,0.9091776170127494,474,47281,-0.005175421940928263,0.05281842706372539,False,False
klk8,-0.03860667561282362,0.018078919193736102,-1.3610318045215193,0.17351015899821862,0.9096800602154806,473,46570,-0.06057241014799155,0.012669564097058193,False,False
cela3a,-0.04899047351580498,0.02906656299285152,-1.3577676687576545,0.17454364736206404,0.9123994785427078,493,48685,-0.028205578093306285,0.009688713156002875,False,False
myh9,-0.06290340527117916,0.04025869845026485,-1.356985734888534,0.17479294004676546,0.9123994785427078,443,42120,-0.11009277652370199,0.016060267094017092,False,False
rbfox3,0.04025304012957795,0.018753949445623155,1.3564354782408725,0.17496785883546265,0.9123994785427078,448,42045,-0.002655468749999997,0.025505501248662146,False,False
tnfrsf10a,0.03683797225001563,0.016569879438678346,1.354155141837678,0.17569322485259867,0.9145459829380806,484,47801,0.03476146694214876,0.014883769168009035,False,False
lrig1,0.03738989246845822,0.017556407201633664,1.3495375995950014,0.17717059669894572,0.9186370925677056,492,48434,0.040491869918699186,-0.004614884172275675,False,False
cdon,-0.03416138133807534,0.013424263890936466,-1.3485531277390894,0.17748681611330777,0.9186370925677056,491,48211,-0.04199959266802444,-0.0009119194789570842,False,False
scgb1a1,0.04827449516523589,0.02866001214516241,1.3477962573426234,0.17773019181869879,0.9186370925677056,489,48213,-0.05641104294478528,-0.060652956671437164,False,False
scgn,0.04186161440365005,0.022246241183036936,1.3471566434987958,0.1779361818200072,0.9186370925677056,487,47262,0.06597679671457905,0.02004703990520926,False,False
dnajb8,0.04708467507479366,0.027417612374386197,1.3467256055585943,0.17807501412768112,0.9186370925677056,474,47281,0.16067594936708862,0.11174455278018654,False,False
nppb,0.09621567519461836,0.06812203897389706,1.3458105394689517,0.17837001522926976,0.9186370925677056,474,47281,0.02400643459915612,-0.04382561494046234,False,False
cd79b,-0.041141869229657534,0.021922111485303826,-1.3437147694369793,0.17904683770816665,0.9202277580485856,497,48696,-0.04406861167002013,0.02687386849022507,False,False
ncan,-0.03957830455518462,0.020266547629203716,-1.3429009898553785,0.17931024582216007,0.9202277580485856,494,48592,0.0011137651821862388,-0.0121680050214027,False,False
dpp10,-0.03768132414777896,0.01810072082472657,-1.3405434636108104,0.1800749906869871,0.9219387927644312,489,48109,1.3905930470347479e-05,0.022972206863580622,False,False
fgf19,0.0603607547750689,0.03961483243978024,1.3399242773369884,0.18027619618378243,0.9219387927644312,491,48370,0.07724429735234216,0.01644714492454,False,False
lrrc38,0.04443322714546183,0.02371366154864695,1.3365534469973657,0.1813757889108038,0.9259376964535782,436,40966,0.03441261467889908,0.019831250305131085,False,False
atp6ap2,0.03962412761653867,0.02029576159371342,1.3319817527426179,0.18287257441431887,0.9309710571884079,476,47037,0.05681029411764707,0.03540497799604567,False,False
palm2,-0.03975517801139105,0.019059831912179918,-1.3307796041158757,0.1832686853399918,0.9309710571884079,444,42031,-0.03182004504504505,0.04268652542171254,False,False
kit,-0.03510261910162355,0.01533289468757781,-1.3306213416149941,0.18331985825939834,0.9309710571884079,484,48287,-0.0033978305785124013,0.0016607658375960396,False,False
znrd2,-0.048236403797739844,0.02809009116977633,-1.3280209306779411,0.18417834393366758,0.9337041262028539,440,41948,-0.016042159090909097,0.08465099408791839,False,False
dipk2b,-0.035722461660934346,0.013690868513461405,-1.3247177950808031,0.18527203885546611,0.9363209211616796,433,41210,-0.008785450346420323,0.013086648871633098,False,False
lyve1,-0.03292185931390555,0.00957198996937772,-1.3234472275330242,0.18569379250450985,0.9363209211616796,443,42191,-0.018794808126410836,0.005084691047853807,False,False
il18r1,0.036251765805355156,0.01713365060015584,1.3233327569048663,0.18573089373188073,0.9363209211616796,497,48696,0.02795442655935614,0.0134396264580253,False,False
upk3a,0.04467362978388484,0.02440156932052718,1.3225892492840239,0.18597935277962693,0.9363209211616796,431,40773,0.07347772621809744,0.027788740097613614,False,False
lysmd3,0.07049200833966426,0.04817551478523282,1.3172678535518387,0.1877561473613812,0.9436364992386658,436,40966,0.2238713302752294,0.14467425425962996,False,False
