protein,log2fc,se,t_stat,p_value,fdr,n_cases,n_controls,mean_cases,mean_controls,significant_fdr05,significant_fdr10
oplah,0.017506419924128595,0.04006579216748433,0.34395890146967256,0.7308788752591813,0.9999786873994423,317,42708,0.06380315457413248,0.03441373981455465,False,False
serpind1,0.012191302337866099,0.017262962674506024,0.34381196412851,0.7309893381432713,0.9999786873994423,321,43865,0.007125233644859814,-0.005517264333751283,False,False
prdx6,-0.016334628411180455,0.03784919870896175,-0.34368887267554094,0.7310816889300416,0.9999786873994423,339,50961,0.009089085545722714,0.031272946959439565,False,False
kir3dl2,0.02006423610016627,0.04921026116698038,0.3432807886992422,0.7313889254249961,0.9999786873994423,307,42313,0.22337328990228017,0.21075085434736368,False,False
wasf3,-0.020402352662776412,0.05176476489157573,-0.3432482062432833,0.7314131946025273,0.9999786873994423,329,49340,-0.025951519756838907,-0.0029289987839481143,False,False
plin3,0.013501810990335067,0.026872780122473676,0.34234929104701756,0.7320894596353797,0.9999786873994423,331,50540,0.06171480362537764,0.03352281954887218,False,False
cd300a,0.012355958080000694,0.018006376446791792,0.3420805518930004,0.7322919357150429,0.9999786873994423,313,42923,0.0408185303514377,0.007207565873773966,False,False
afm,-0.011367993744331386,0.012124979962128704,-0.3420523849654702,0.7323130935743932,0.9999786873994423,321,43949,0.005988785046728973,0.003323959589524221,False,False
tpt1,-0.016980082383382063,0.04019485977337467,-0.3420008513218766,0.7323516918798393,0.9999786873994423,329,49574,0.057161094224924026,0.08561036430386897,False,False
abca2,-0.013010326338789855,0.021358825520977436,-0.3419444833101725,0.7323943531498425,0.9999786873994423,304,42451,0.023048519736842105,0.012746944712727614,False,False
apof,-0.012282956956360202,0.018272124977708727,-0.3417007164287543,0.7325777561959383,0.9999786873994423,320,43915,-0.075866875,-0.06632324490492997,False,False
dctn2,0.022120041057680468,0.05792363814643819,0.34163482417807084,0.7326271442425398,0.9999786873994423,336,50300,0.09524568452380952,0.06819977932405566,False,False
esam,-0.011851048233960815,0.019530719914422706,-0.34145827898519693,0.7327600013510116,0.9999786873994423,342,51155,0.03820131578947368,0.01747355390479914,False,False
igsf3,0.012642457048590409,0.02310386068479641,0.34144837434772285,0.7327674802343,0.9999786873994423,336,50300,0.09237946428571428,0.05130845328031809,False,False
nudt2,0.015467130759930971,0.0348569902086864,0.3414338494551057,0.732778413122571,0.9999786873994423,336,50300,0.05883779761904761,0.0346653648111332,False,False
ube2b,0.01206614538878456,0.016934319592215114,0.3412286130237628,0.73293311433831,0.9999786873994423,317,43673,0.023770662460567818,0.010609011288439081,False,False
trdmt1,-0.019941318008150313,0.04942940623024516,-0.34098219730980367,0.7331186350013958,0.9999786873994423,316,43076,0.06364240506329114,0.072694390147646,False,False
