protein,logFC_ms,t_ms,P.Value_ms,fdr_ms,logFC_ytd,t_ytd,P.Value_ytd,fdr_ytd,gap_5yr
sirt1,-0.11195071286411,-0.691207519231239,0.489554080646661,0.899111626979451,0.0219973820371907,1.1055069671696,0.269137123254871,0.998656629238247,-0.0019638026781563
sirt2,0.0526212992302187,0.685713215891649,0.493011808072345,0.900914860827744,-0.0025248221398092,-0.267806207205626,0.788889438451792,0.998656629238247,0.0399971885311728
sirt5,-0.0663896094070014,-0.570695520504856,0.568301115323641,0.927415766355502,0.00470194107444953,0.328995856470586,0.742209894046803,0.998656629238247,-0.0428799040347537
sit1,-0.0350079993703428,-0.305601881656459,0.759954943274969,0.966483136342231,0.00486479064813592,0.345670074260672,0.729644579974354,0.998656629238247,-0.0106840461296632
skap1,0.034043227721114,0.226595825917981,0.820772372824297,0.972088761475552,-0.00710584117915101,-0.384986559688537,0.700308069842472,0.998656629238247,-0.00148597817464101
skap2,-0.15305277249889,-1.50192650548477,0.133350150978281,0.776257022755728,0.0158063210802014,1.2625459008151,0.206970654470536,0.998656629238247,-0.0740211670978826
skiv2l,0.0861159700968303,1.22251135440399,0.22172788589564,0.818782817012601,-0.0171285896166749,-1.9792456693177,0.0479914218979667,0.998656629238247,0.000473022013456045
sla2,0.012045624789824,0.141504318062213,0.887492679841294,0.976109678783387,0.00129525104222976,0.123852052426262,0.90145087019975,0.998656629238247,0.0185218800009728
slamf1,-0.142839722912314,-1.2710387090904,0.203934031941746,0.812109393956804,0.0177960414382845,1.28896784159209,0.197630281647838,0.998656629238247,-0.0538595157208911
slamf6,-0.00803021701003461,-0.11308052474425,0.909983542212819,0.978666232232106,0.0033215672152388,0.380725946002666,0.703466566131902,0.998656629238247,0.0085776190661594
slamf7,-0.273980463887274,-2.32263633761268,0.020346876250617,0.570237067982063,0.0398239782042249,2.74799005803344,0.0060760808120115,0.946270457790156,-0.0748605728661498
slamf8,-0.152127683268683,-1.54236777018296,0.123218812520219,0.774708343944619,0.0137420733372046,1.13407257425468,0.256965618961928,0.998656629238247,-0.0834173165826602
slc12a2,0.0167335994096324,0.411767942371906,0.68057494383323,0.950646853575382,-0.0043222862427323,-0.865736214187653,0.386788792986847,0.998656629238247,-0.00487783180402905
slc13a1,-0.170570627687821,-1.62469380784643,0.104461447654281,0.747996329128821,0.0227901344159443,1.76694511746074,0.0774635332559503,0.998656629238247,-0.0566199556080996
slc16a1,0.147914918262722,1.23511570832096,0.217002541251937,0.818782817012601,-0.0130190677949601,-0.884880147620521,0.376378987017072,0.998656629238247,0.0828195792879213
slc1a4,-0.112984227883983,-1.28706110280194,0.198293813914595,0.805814430543337,0.0153862397636989,1.42666739181671,0.153907213184035,0.998656629238247,-0.0360530290654886
slc27a4,-0.143759247480097,-1.21332694726497,0.225217274724766,0.818782817012601,0.0123852629903807,0.850856226248837,0.395000242346321,0.998656629238247,-0.0818329325281935
slc28a1,0.0159159192870293,0.136655328910733,0.891323634002865,0.976109678783387,-0.0033515173030328,-0.234231449271759,0.814840848701729,0.998656629238247,-0.000841667228134693
