protein,logFC,AveExpr,t,P.Value,fdr,B,sig_tier,bonferroni_sig,bonferroni_threshold
stk4,-0.0334556978446282,-0.0448426673998208,-1.60757475436851,0.107989186579987,0.429835879200446,-5.21184872946003,NS,FALSE,1.71762281003092e-05
il7r,-0.0448717190755054,-0.0232243370827829,-1.60688425849806,0.108140605406919,0.429835879200446,-5.212932260824,NS,FALSE,1.71762281003092e-05
tspan15,0.0368371871049455,0.0826134049876621,1.60592468735969,0.108351308805384,0.429835879200446,-5.21443725497921,NS,FALSE,1.71762281003092e-05
btd,-0.0154642385632701,-0.0257357676192261,-1.60553137147293,0.108437767268252,0.429835879200446,-5.21505387325748,NS,FALSE,1.71762281003092e-05
eppk1,0.0479746943320756,0.0148943459738674,1.6052452920593,0.108500687370579,0.429835879200446,-5.21550227750703,NS,FALSE,1.71762281003092e-05
kir3dl1,-0.102457917852049,-0.0105363700497274,-1.60511433837192,0.108529498870604,0.429835879200446,-5.2157075092296,NS,FALSE,1.71762281003092e-05
scg2,-0.0260115594928164,-0.0108727283663598,-1.60141623767814,0.109345631449407,0.432479800474488,-5.22149629817563,NS,FALSE,1.71762281003092e-05
hspb6,0.0301707033692843,-0.0805289889402218,1.59884092024532,0.109916838831088,0.433668177548466,-5.22551966938433,NS,FALSE,1.71762281003092e-05
sil1,0.0217109831046804,0.0338892434315625,1.59846690370167,0.109999991784493,0.433668177548466,-5.2261034506115,NS,FALSE,1.71762281003092e-05
sned1,0.0242839049125724,0.00663070311550579,1.59804873057058,0.110093020683036,0.433668177548466,-5.2267559917983,NS,FALSE,1.71762281003092e-05
btc,0.0495756571942978,0.059813899155566,1.59641285349112,0.110457543672167,0.433669443998197,-5.2293070689266,NS,FALSE,1.71762281003092e-05
mcam,-0.0274322553368956,-0.0259626865576494,-1.59603206331566,0.110542531932403,0.433669443998197,-5.22990051966569,NS,FALSE,1.71762281003092e-05
pnpt1,0.0991817403609083,0.386790807479512,1.595901874908,0.110571600428387,0.433669443998197,-5.23010338218145,NS,FALSE,1.71762281003092e-05
mapkapk2,0.0313106321046951,-0.0182699342259383,1.59537525162012,0.110689246613075,0.433669443998197,-5.2309238097902,NS,FALSE,1.71762281003092e-05
prg2,0.037860163208911,-0.0119499807801087,1.59235259294316,0.111366413758595,0.435736062434502,-5.23562758453725,NS,FALSE,1.71762281003092e-05
ntrk2,-0.0213444372907045,-0.0198541875038678,-1.59093713963153,0.111684640477434,0.436394615342028,-5.23782720876293,NS,FALSE,1.71762281003092e-05
il21r,0.0394805301658515,0.0960300689225078,1.58971261940952,0.111960519591862,0.436886156208995,-5.23972854509368,NS,FALSE,1.71762281003092e-05
aldh3a1,0.0552125277080016,0.0367734191928172,1.58645118999648,0.112697929049199,0.43861029442219,-5.24478549466686,NS,FALSE,1.71762281003092e-05
klk14,0.0386582132516896,0.062904397971963,1.58557528112275,0.112896623061036,0.43861029442219,-5.24614185174465,NS,FALSE,1.71762281003092e-05
pde4d,0.0440958775320303,0.130393561418258,1.58537867999174,0.112941258626916,0.43861029442219,-5.24644618849771,NS,FALSE,1.71762281003092e-05
tnfsf14,0.0372153358271738,0.000491698692120957,1.5850977811313,0.11300505696209,0.43861029442219,-5.24688095195074,NS,FALSE,1.71762281003092e-05
coq7,-0.0317789236084745,0.0628813932647995,-1.58192503726497,0.113727631258661,0.438614172539899,-5.25178624765766,NS,FALSE,1.71762281003092e-05
galnt2,-0.0210432165822118,-0.0170563555846101,-1.58168008097572,0.113783569658161,0.438614172539899,-5.2521645598302,NS,FALSE,1.71762281003092e-05
akr1c4,-0.0443669057301022,0.0418221721046141,-1.58160646312476,0.113800385319947,0.438614172539899,-5.25227824430638,NS,FALSE,1.71762281003092e-05
cdh5,-0.0239531548543078,0.00959011663970095,-1.58159730222305,0.113802477974165,0.438614172539899,-5.25229239067187,NS,FALSE,1.71762281003092e-05
f9,0.0148845481730232,-0.0281423647645401,1.58130158768834,0.113870045278807,0.438614172539899,-5.25274899237407,NS,FALSE,1.71762281003092e-05
cd300lf,0.0504980229020305,-0.170315298356897,1.58112632970929,0.113910104582674,0.438614172539899,-5.25301956137987,NS,FALSE,1.71762281003092e-05
igf1r,-0.0159408971666031,-0.0292767103910339,-1.57876889129401,0.114450031678191,0.440111020099357,-5.25665614008367,NS,FALSE,1.71762281003092e-05
fh,0.0614457869633491,0.186033601186359,1.57700277657279,0.114855845649325,0.44108887425486,-5.25937699254977,NS,FALSE,1.71762281003092e-05
sez6l,-0.0221557978166657,0.0204817195065749,-1.57387732384663,0.115576779525461,0.443272734122023,-5.26418456659799,NS,FALSE,1.71762281003092e-05
mthfsd,-0.0476144770127886,-0.0194794401715608,-1.57092591579835,0.116260829828223,0.445309573197312,-5.26871567784188,NS,FALSE,1.71762281003092e-05
eif2ak2,0.0351189426138646,0.00300606831378575,1.56787244320206,0.116971880595751,0.447444342200042,-5.27339453988714,NS,FALSE,1.71762281003092e-05
epha10,0.0536685564729588,0.0929716964814281,1.56269008493988,0.118186490168235,0.451497208503587,-5.28131469554584,NS,FALSE,1.71762281003092e-05
tgfb1,0.0223344863786081,-0.0210674495447981,1.5611837922153,0.118541375776597,0.452259429732206,-5.28361183661908,NS,FALSE,1.71762281003092e-05
chrm1,0.0248715725422166,0.0102999298896838,1.55839598900378,0.119200392282102,0.454178458027747,-5.28785748068436,NS,FALSE,1.71762281003092e-05
dhodh,0.0333845262306141,0.0397865262693209,1.55373363976242,0.120308951833708,0.457438942290687,-5.29494099612169,NS,FALSE,1.71762281003092e-05
eif4g1,-0.0318335693409167,-0.126371713729454,-1.55345298720136,0.120375938923929,0.457438942290687,-5.29536671545347,NS,FALSE,1.71762281003092e-05
mrpl24,0.0254348826752441,0.00655545402493452,1.55142774315962,0.120860197123625,0.457438942290687,-5.29843651215155,NS,FALSE,1.71762281003092e-05
ostn,-0.0310672167169688,0.0342808460507096,-1.55000623362268,0.121201005541637,0.457438942290687,-5.30058879876981,NS,FALSE,1.71762281003092e-05
reg3g,0.0284474566775038,-0.000802113521954046,1.54979752364882,0.121251107228307,0.457438942290687,-5.3009046375166,NS,FALSE,1.71762281003092e-05
cd46,-0.0165446416171156,-0.0147300271932224,-1.54949902304566,0.121322791685703,0.457438942290687,-5.3013562816945,NS,FALSE,1.71762281003092e-05
prkab1,0.0331372112728449,0.0394056563445334,1.54936048943207,0.121356071581899,0.457438942290687,-5.30156585944736,NS,FALSE,1.71762281003092e-05
ambp,0.0154021138309317,-0.0305816459125221,1.54910157833235,0.121418288880149,0.457438942290687,-5.30195749763755,NS,FALSE,1.71762281003092e-05
mln,0.0729617242044423,-0.0995251914074121,1.54888484868613,0.12147038900402,0.457438942290687,-5.30228528037467,NS,FALSE,1.71762281003092e-05
thbd,-0.019998176524604,-0.0406392852694941,-1.54589547660546,0.122190796440506,0.459557375243297,-5.30680174352205,NS,FALSE,1.71762281003092e-05
cd300lg,-0.0287377379384988,0.0158075784067394,-1.54500056819353,0.122407108430361,0.459776893730039,-5.30815211163242,NS,FALSE,1.71762281003092e-05
dkk1,0.0399030264425457,-0.0385303150964884,1.54428218222347,0.122580968943099,0.459836598702786,-5.30923555171567,NS,FALSE,1.71762281003092e-05
nampt,-0.0407487597892793,0.036048118077541,-1.54287179264872,0.12292286636505,0.460525693679099,-5.31136117872078,NS,FALSE,1.71762281003092e-05
st13,-0.0281847157077091,-0.0285633305493578,-1.54213757524093,0.12310114519443,0.460600814474273,-5.31246696482066,NS,FALSE,1.71762281003092e-05
pcare,0.057781405920162,0.196198436827003,1.5395595893588,0.123728718291776,0.461800995262259,-5.3163454388938,NS,FALSE,1.71762281003092e-05
apcs,0.0253892317380233,-0.0979198292841965,1.53951666783282,0.12373918801256,0.461800995262259,-5.31640995770335,NS,FALSE,1.71762281003092e-05
grin2b,0.0417679839434263,0.111045638885083,1.53828395305462,0.124040175774974,0.462048270467832,-5.31826218379805,NS,FALSE,1.71762281003092e-05
jam3,-0.0238160847712812,0.0373365730101525,-1.53794557996958,0.124122895055254,0.462048270467832,-5.31877034987322,NS,FALSE,1.71762281003092e-05
il3ra,0.0242939364796696,-0.0294720682341587,1.53616480078335,0.124558937176801,0.463079267077483,-5.32144286964785,NS,FALSE,1.71762281003092e-05
tff3,0.0401591263675102,0.0922627993431754,1.53523984874055,0.124785892295599,0.463207388638454,-5.32282977878033,NS,FALSE,1.71762281003092e-05
pcdh17,0.0268366527939248,-0.00816580013580967,1.53365455098974,0.125175626202952,0.463207388638454,-5.32520489504108,NS,FALSE,1.71762281003092e-05
naa80,0.0343374610273334,-0.0512621933424191,1.53343962442536,0.125228537314894,0.463207388638454,-5.32552671244629,NS,FALSE,1.71762281003092e-05
sv2a,-0.0363374956534227,0.0506810406821897,-1.53297626164807,0.125342668343049,0.463207388638454,-5.32622036918408,NS,FALSE,1.71762281003092e-05
procr,0.0248993761681495,0.0323302059074387,1.53278819244552,0.125389014856442,0.463207388638454,-5.32650185010556,NS,FALSE,1.71762281003092e-05
swap70,-0.0212059493396884,0.00422475611063248,-1.53158008162923,0.125687052211052,0.463392183453505,-5.3283091923878,NS,FALSE,1.71762281003092e-05
commd9,0.0228139367796441,0.0223250602976147,1.53129520214423,0.125757411517784,0.463392183453505,-5.32873516665341,NS,FALSE,1.71762281003092e-05
itgal,-0.0301294160147074,-0.0338250056637084,-1.52903827356222,0.126315911311007,0.464861716594616,-5.33210710617941,NS,FALSE,1.71762281003092e-05
esyt2,-0.0321719936753614,0.0120363151576266,-1.52708956699455,0.126799691087503,0.466052904994597,-5.33501455262855,NS,FALSE,1.71762281003092e-05
afm,-0.0136900010390818,-0.0194662515551322,-1.52639487355077,0.126972501893492,0.466099562436262,-5.33605013110494,NS,FALSE,1.71762281003092e-05
scgb1a1,0.0453472747791731,-0.101071013724239,1.5249224114944,0.127339395278745,0.466282811227349,-5.33824357165917,NS,FALSE,1.71762281003092e-05
gipc2,-0.0191056586489984,-0.0177923390621364,-1.52490883966139,0.12734278080582,0.466282811227349,-5.33826377898769,NS,FALSE,1.71762281003092e-05
