protein,years_to_dx,pred_npx,pred_lci,pred_uci,hc_mean,hc_lci,hc_uci
MOG,-5.75,0.0817788520777552,-0.0174653275545608,0.181023031710071,-0.00755734102078591,-0.382895566974735,0.367780884933163
MOG,-5.5,0.0807558920187428,-0.0146531082155523,0.176164892253038,-0.00755734102078591,-0.382895566974735,0.367780884933163
MOG,-5.25,0.0797455579982945,-0.0125776301360124,0.172068746132601,-0.00755734102078591,-0.382895566974735,0.367780884933163
MOG,-5,0.0787491126202667,-0.0112530738907713,0.168751299131305,-0.00755734102078591,-0.382895566974735,0.367780884933163
MOG,-4.75,0.0777678184885158,-0.0106695745485316,0.166205211525563,-0.00755734102078591,-0.382895566974735,0.367780884933163
MOG,-4.5,0.0768029382068984,-0.0107914220346573,0.164397298448454,-0.00755734102078591,-0.382895566974735,0.367780884933163
MOG,-4.25,0.0758557343792706,-0.0115583181246045,0.163269786883146,-0.00755734102078591,-0.382895566974735,0.367780884933163
MOG,-4,0.0749274696094889,-0.0128895295763272,0.162744468795305,-0.00755734102078591,-0.382895566974735,0.367780884933163
MOG,-3.75,0.0740194065014099,-0.0146899806768648,0.162728793679685,-0.00755734102078591,-0.382895566974735,0.367780884933163
MOG,-3.5,0.0731328076588896,-0.0168569452325428,0.163122560550322,-0.00755734102078591,-0.382895566974735,0.367780884933163
MOG,-3.25,0.072268935685785,-0.0192861327085983,0.163824004080168,-0.00755734102078591,-0.382895566974735,0.367780884933163
MOG,-3,0.0714290531859519,-0.0218764322513472,0.164734538623251,-0.00755734102078591,-0.382895566974735,0.367780884933163
MOG,-2.75,0.0706144227632472,-0.0245330983253093,0.165761943851804,-0.00755734102078591,-0.382895566974735,0.367780884933163
MOG,-2.5,0.069826307021527,-0.0271695373716458,0.1668221514147,-0.00755734102078591,-0.382895566974735,0.367780884933163
MOG,-2.25,0.069065968564648,-0.0297080348830293,0.167839972012325,-0.00755734102078591,-0.382895566974735,0.367780884933163
MOG,-2,0.0683346699964662,-0.0320797905080448,0.168749130500977,-0.00755734102078591,-0.382895566974735,0.367780884933163
MOG,-1.75,0.0676336739208384,-0.0342245756708009,0.169491923512478,-0.00755734102078591,-0.382895566974735,0.367780884933163
MOG,-1.5,0.0669642429416207,-0.0360902499316689,0.17001873581491,-0.00755734102078591,-0.382895566974735,0.367780884933163
MOG,-1.25,0.0663276396626697,-0.0376323006839542,0.170287580009294,-0.00755734102078591,-0.382895566974735,0.367780884933163
MOG,-1,0.0657251266878418,-0.0388135183753721,0.170263771751056,-0.00755734102078591,-0.382895566974735,0.367780884933163
MOG,-0.75,0.0651579666209934,-0.0396038882035766,0.169919821445563,-0.00755734102078591,-0.382895566974735,0.367780884933163
MOG,-0.5,0.0646274220659809,-0.039980766893601,0.169235611025563,-0.00755734102078591,-0.382895566974735,0.367780884933163
MOG,-0.25,0.0641347556266605,-0.0399294168113762,0.168198928064697,-0.00755734102078591,-0.382895566974735,0.367780884933163
