protein,comparison,logFC,AveExpr,t,P.Value,adj.P.Val,B
ecscr,post_onset_vs_hc,0.00792323163859643,0.0738503268726951,0.149282198259305,0.881373187902279,0.99104851762009,-6.15116336598789
plin3,post_onset_vs_hc,-0.00511885225250908,0.0128862320231375,-0.149183315356289,0.881451182815408,0.99104851762009,-6.15117749898083
ltbr,post_onset_vs_hc,0.00534578826455134,0.0258557768635881,0.148978638842699,0.88161262719347,0.99104851762009,-6.15120672293921
csf2rb,post_onset_vs_hc,-0.00771219414703164,-0.0583448039843522,-0.148835030362419,0.881725905379551,0.99104851762009,-6.15122720358047
lilra3,post_onset_vs_hc,0.0264458673396644,-0.358106931424937,0.148372832180879,0.882090503163167,0.99104851762009,-6.1512929856332
matn3,post_onset_vs_hc,0.0068045103403751,0.00991149554759207,0.148288248884902,0.882157228081645,0.99104851762009,-6.15130500174953
adh1b,post_onset_vs_hc,0.0134313619332433,0.16830892366799,0.147738675777241,0.88259078822127,0.99104851762009,-6.15138290860803
ttr,post_onset_vs_hc,0.00463822129322471,0.0081031021521688,0.147040528400462,0.883141609938178,0.99104851762009,-6.15148146007101
dpy30,post_onset_vs_hc,-0.00813108379640833,0.0343700684979681,-0.146771966622202,0.883353513904994,0.99104851762009,-6.15151924631097
mrpl46,post_onset_vs_hc,-0.00641779669474242,0.011313467268255,-0.145382278622217,0.884450156168186,0.99104851762009,-6.15171366986442
slmap,post_onset_vs_hc,0.00963040529172171,0.0846906599879981,0.144719401328458,0.884973329754267,0.99104851762009,-6.15180575784391
mfap5,post_onset_vs_hc,0.00779042246415151,0.0305022331940902,0.144629844103364,0.88504401633984,0.99104851762009,-6.15181816701039
il4,post_onset_vs_hc,-0.0207487254187346,-0.150300097803838,-0.143588154394226,0.885866278393007,0.99104851762009,-6.15196194062871
gstp1,post_onset_vs_hc,-0.0148538841430916,0.0812107757406528,-0.143572169679904,0.885878896954693,0.99104851762009,-6.15196413873729
acp5,post_onset_vs_hc,-0.0067073428018602,0.0101974319038349,-0.142854224626967,0.886445682882385,0.99104851762009,-6.15206261331739
adam23,post_onset_vs_hc,0.00740210501440242,-0.0206626363062336,0.142367904644421,0.886829644130426,0.99104851762009,-6.15212903736508
dpp7,post_onset_vs_hc,-0.0105969323776593,0.0176815613487346,-0.142209260160613,0.886954903504561,0.99104851762009,-6.15215065683724
gata3,post_onset_vs_hc,0.00464991867576445,-0.0242453670814554,0.142185787053891,0.886973437176361,0.99104851762009,-6.15215385361678
igbp1,post_onset_vs_hc,0.00687792379928712,-0.0402253563909016,0.142115734725642,0.887028748794012,0.99104851762009,-6.15216339083775
lrg1,post_onset_vs_hc,0.00466416295434599,0.0014579073097175,0.141790594205254,0.887285479070034,0.99104851762009,-6.15220759531852
hcg22,post_onset_vs_hc,0.00941117468508859,0.0291280662872481,0.141363961964431,0.887622364971595,0.99104851762009,-6.15226544452648
fam3c,post_onset_vs_hc,-0.00562852702312261,0.0215446582132011,-0.141356040577032,0.887628620208873,0.99104851762009,-6.15226651697888
tbl1x,post_onset_vs_hc,-0.0086400053438086,-0.110970473026859,-0.141010616135159,0.887901396394375,0.99104851762009,-6.15231322449122
irak4,post_onset_vs_hc,-0.00991518609057296,-0.151362169635914,-0.140923807195446,0.887969950126071,0.99104851762009,-6.15232494463279
crlf1,post_onset_vs_hc,-0.0049614468115638,-0.0149381856683232,-0.140834529488437,0.888040454339515,0.99104851762009,-6.15233699055682
prnd,post_onset_vs_hc,-0.00869986565968342,0.0460653377824412,-0.140582753888267,0.888239290846318,0.99104851762009,-6.15237092062655
tnc,post_onset_vs_hc,0.0100049795420304,0.043532073988842,0.140404407843155,0.888380141581689,0.99104851762009,-6.15239491836671
wfdc12,post_onset_vs_hc,0.0137603106783814,0.123306880060608,0.140373510504372,0.88840454345123,0.99104851762009,-6.15239907272957
fhit,post_onset_vs_hc,-0.00935977392402932,-0.0773220378100986,-0.139489283695378,0.889102926325238,0.99104851762009,-6.15251757572533
cyb5a,post_onset_vs_hc,-0.0127095445539848,0.128960377274463,-0.139206169754379,0.889326554549695,0.99104851762009,-6.1525553600556
tst,post_onset_vs_hc,0.0092306570218017,-0.000632769313144357,0.138983927589339,0.889502107090248,0.99104851762009,-6.15258496667081
ccl14,post_onset_vs_hc,-0.00731939391159726,0.0147799831941699,-0.138674227646704,0.889746752942601,0.99104851762009,-6.15262614533359
golm2,post_onset_vs_hc,-0.00458598191821133,-0.00103572564499001,-0.138305397713539,0.890038121946903,0.99104851762009,-6.15267506626587
ptpn9,post_onset_vs_hc,-0.00724405942325591,0.0297085292275709,-0.138248021590641,0.890083449389373,0.99104851762009,-6.15268266482075
il6,post_onset_vs_hc,-0.0143331438303836,0.151741221958025,-0.137827608965869,0.890415588575362,0.99104851762009,-6.1527382456014
smoc2,post_onset_vs_hc,0.00719506432560527,0.0740363968640188,0.137711679020431,0.890507180268058,0.99104851762009,-6.15275354238171
afm,post_onset_vs_hc,0.00361633730614661,0.0179097848515755,0.137211509145918,0.89090236159587,0.99104851762009,-6.15281939147863
npr1,post_onset_vs_hc,-0.00694096124217708,0.0719728162006347,-0.134854045865133,0.892765343774792,0.99104851762009,-6.15312653380322
washc3,post_onset_vs_hc,0.00622184471336571,0.0617061669588566,0.134467773957989,0.893070651457879,0.99104851762009,-6.1531763517782
sult1a1,post_onset_vs_hc,-0.0138630328588034,-0.187239236955055,-0.133819715443004,0.893582909817826,0.99104851762009,-6.15325961172646
morf4l1,post_onset_vs_hc,0.00727087459035231,0.0361638113685096,0.133703718310528,0.893674604542127,0.99104851762009,-6.15327447213133
gadd45gip1,post_onset_vs_hc,0.00503638593685669,0.0333912721656929,0.132630434254407,0.894523093642733,0.99104851762009,-6.15341135944419
cinp,post_onset_vs_hc,0.00679482882869259,0.0281757595477492,0.132465430119832,0.894653549087589,0.99104851762009,-6.15343230633378
stk24,post_onset_vs_hc,-0.00682190252912795,0.0116712269952824,-0.132102445266068,0.894940541944699,0.99104851762009,-6.1534782946408
lilra2,post_onset_vs_hc,0.00672138592399407,-0.0321598761242816,0.131757691708156,0.895213133044536,0.99104851762009,-6.15352185629966
acot13,post_onset_vs_hc,-0.00957931327677128,-0.0774361278499667,-0.131539054159639,0.895386012669065,0.99104851762009,-6.15354942346788
nub1,post_onset_vs_hc,-0.00716596394891847,-0.0166633158923713,-0.131435810677589,0.89546765039792,0.99104851762009,-6.15356242512846
acrbp,post_onset_vs_hc,-0.00425592740754027,0.0186171124761042,-0.130795566515891,0.895973935464957,0.99104851762009,-6.15364282443217
dsg2,post_onset_vs_hc,-0.00503871008251393,-0.0124655033304426,-0.130444766115706,0.896251355471916,0.99104851762009,-6.15368671006807
tff3,post_onset_vs_hc,-0.00912611141183955,0.0924009124574268,-0.130289235306989,0.896374356430908,0.99104851762009,-6.15370612948685
insr,post_onset_vs_hc,-0.00286939629662889,0.00559717668011678,-0.129837298131692,0.896731783410589,0.99104851762009,-6.15376242644123
septin3,post_onset_vs_hc,-0.0121154975747181,0.0577019133036523,-0.129821783454231,0.896744053994451,0.99104851762009,-6.15376435560224
fabp4,post_onset_vs_hc,0.0107618193689398,0.0183498803378798,0.12969504340921,0.896844293830638,0.99104851762009,-6.15378010636574
tnfrsf17,post_onset_vs_hc,0.00643075520865537,0.0205612898055562,0.129297361672258,0.897158834580322,0.99104851762009,-6.15382942885067
lta,post_onset_vs_hc,0.00705836691928019,-0.0806228938499665,0.129104159685577,0.897311650809865,0.99104851762009,-6.15385333606498
reep4,post_onset_vs_hc,0.00629046398230854,0.0596140515659954,0.128261502146282,0.897978208946755,0.99104851762009,-6.15395719027808
stx4,post_onset_vs_hc,0.00714779714013308,0.0619710398543502,0.127721657430092,0.898405274326798,0.99104851762009,-6.15402336662206
mbl2,post_onset_vs_hc,0.0173032350156841,-0.0922097412924093,0.127515511753029,0.898568361753397,0.99104851762009,-6.15404856315184
thtpa,post_onset_vs_hc,-0.00742407584042047,-0.0337280602066473,-0.126790784607075,0.899141747051406,0.99104851762009,-6.15413682119559
spock1,post_onset_vs_hc,0.00454797016906014,0.033785305745895,0.125526507365919,0.900142136504117,0.99104851762009,-6.15428958207517
f12,post_onset_vs_hc,0.00603264007120782,-0.0451472655569599,0.123994029352595,0.901354959215061,0.99104851762009,-6.1544726969341
cenpf,post_onset_vs_hc,0.00798810345719728,0.0409413878791081,0.123822992319662,0.901490334480241,0.99104851762009,-6.15449299452336
numb,post_onset_vs_hc,0.0061332550520044,-0.0639096803184825,0.123804598054444,0.901504893653454,0.99104851762009,-6.15449517576941
ncam2,post_onset_vs_hc,-0.00486068053447297,-0.0140879736914192,-0.123736128205386,0.901559088248749,0.99104851762009,-6.15450329227747
ccl15,post_onset_vs_hc,0.00761486058331956,0.12705724935349,0.123634421572124,0.901639590951941,0.99104851762009,-6.15451534043072
mmp15,post_onset_vs_hc,-0.0070506400956222,0.0761839001076635,-0.123547795375143,0.901708158007058,0.99104851762009,-6.15452559434536
cd226,post_onset_vs_hc,-0.00479916630242782,-0.0171260977988034,-0.123458868865019,0.901778546588675,0.99104851762009,-6.15453611307171
dffa,post_onset_vs_hc,0.00478491220586026,-0.0270212317225669,0.123015101736934,0.902129816038687,0.99104851762009,-6.15458849113897
