protein,comparison,logFC,AveExpr,t,P.Value,adj.P.Val,B
tctn3,combined_vs_hc,-0.00526856170394846,0.00810301285691761,-0.327768202875967,0.743104516057063,0.995266695411486,-6.20572815993162
smndc1,combined_vs_hc,0.00919752762357598,0.0778348985785427,0.327002573421685,0.743683479461283,0.995266695411486,-6.20596985242619
ywhaq,combined_vs_hc,0.00554796243984591,0.00518570593365299,0.326598783157662,0.743988881133297,0.995266695411486,-6.20609709254808
cacna1c,combined_vs_hc,-0.00572020483217517,0.0185329751196464,-0.326356593085392,0.744172077870612,0.995266695411486,-6.2061733347009
fut3_fut5,combined_vs_hc,-0.00931273414243694,0.0755562720638098,-0.326342746965504,0.74418255175169,0.995266695411486,-6.20617769179123
gbp2,combined_vs_hc,0.010227976663748,-0.0273040035662113,0.324366674514884,0.745677834028852,0.995266695411486,-6.20679762564755
mnda,combined_vs_hc,0.0186562639212382,0.0965650933130638,0.324245944720816,0.745769220683423,0.995266695411486,-6.20683537898365
tnn,combined_vs_hc,0.00760892802745219,0.0136194233599272,0.324021942832902,0.74593878883003,0.995266695411486,-6.20690538924073
dll4,combined_vs_hc,-0.0152659129505621,0.131063724860026,-0.323473726799972,0.746353837145658,0.995266695411486,-6.20707652632146
stx8,combined_vs_hc,-0.00650501544940724,0.0269329566169051,-0.322276799627577,0.747260273215558,0.995266695411486,-6.20744916512511
esyt2,combined_vs_hc,-0.00807293130753103,0.0417476770384232,-0.32205510334064,0.747428202821918,0.995266695411486,-6.20751803411134
pms1,combined_vs_hc,0.00823153455887599,0.0294498557124741,0.321621689659685,0.747756537898258,0.995266695411486,-6.20765253530127
cdh17,combined_vs_hc,-0.0138445639087112,0.0872166924077977,-0.321371947775671,0.747945752121778,0.995266695411486,-6.20772995540421
gzmb,combined_vs_hc,-0.011108538559326,0.0439486012088474,-0.320811295234029,0.748370579737554,0.995266695411486,-6.20790353891911
sestd1,combined_vs_hc,0.00906916810541908,0.00959883553107871,0.31973071512641,0.749189591639409,0.995266695411486,-6.20823724211212
fdx1,combined_vs_hc,-0.0103165405867778,0.0721006668348012,-0.31966742345982,0.7492375715345,0.995266695411486,-6.20825675285073
il4,combined_vs_hc,-0.0178616982564552,-0.150370907519454,-0.318913035247104,0.749809529863566,0.995266695411486,-6.20848900854289
wfdc12,combined_vs_hc,0.0123500958926506,0.0760904330303054,0.318644313168083,0.750013301507192,0.995266695411486,-6.20857160824667
slc9a3r2,combined_vs_hc,-0.00826509542461429,0.0927938124861257,-0.318239678685075,0.750320168292641,0.995266695411486,-6.20869585330763
cilp,combined_vs_hc,0.00916319673133659,0.0243146674607051,0.318025929430173,0.75048228745618,0.995266695411486,-6.2087614223729
ddi2,combined_vs_hc,-0.0128669607812907,0.0357010676369725,-0.317766529953902,0.750679045058045,0.995266695411486,-6.20884093578999
tnfrsf4,combined_vs_hc,0.00640468994299781,0.0692480239973159,0.317045108674377,0.75122633697807,0.995266695411486,-6.20906173108518
vstm1,combined_vs_hc,0.00937795480219147,0.0203401269962455,0.316946915103688,0.751300839267174,0.995266695411486,-6.20909174501501
