protein,comparison,logFC,AveExpr,t,P.Value,adj.P.Val,B
fcgr3b,combined_vs_hc,0.0551480038734422,-0.000877318549593913,2.12308964762497,0.0337935473831713,0.23935040494504,-4.27316886286423
gpr101,combined_vs_hc,0.060489761025742,0.116300926802191,2.11854305774323,0.0341764980453415,0.239777780039742,-4.28257968277528
lep,combined_vs_hc,0.098335539578252,0.0186379211374083,2.11844536115878,0.0341847673946949,0.239777780039742,-4.28278168033482
lilra2,combined_vs_hc,0.0385465362503032,-0.0296831379362583,2.1174119617081,0.0342723423987436,0.239777780039742,-4.28491776872739
ghrl,combined_vs_hc,0.0913353640516625,0.0654240278093557,2.11502627528845,0.0344752490791914,0.239777780039742,-4.28984512854435
hnmt,combined_vs_hc,-0.0432631932334453,-0.0797271077879868,-2.11439587883003,0.0345290365325173,0.239777780039742,-4.2911462134435
il1rl2,combined_vs_hc,0.0439224184569422,-0.00188354820718206,2.11335214462164,0.0346182489442133,0.239777780039742,-4.29329954126576
gsta3,combined_vs_hc,-0.0761080076347436,0.024225537717974,-2.11333294102983,0.0346198922004323,0.239777780039742,-4.29333915024836
tie1,combined_vs_hc,0.0469258831756268,-0.0652277498452832,2.11315659799264,0.03463498503503,0.239777780039742,-4.29370285542427
tgfbi,combined_vs_hc,-0.0283410604487312,-0.0230005581417959,-2.11263048343695,0.0346800474989652,0.239777780039742,-4.29478777968753
tnfrsf4,combined_vs_hc,0.0368991693708426,0.00506615354044025,2.11174815476697,0.0347557326544907,0.239777780039742,-4.29660666358091
fzd10,combined_vs_hc,-0.0592305874462601,0.0741204742553941,-2.1114192820702,0.0347839790586756,0.239777780039742,-4.29728442694087
kazald1,combined_vs_hc,-0.0484496955196733,-0.075384942337653,-2.11052676708857,0.0348607347327475,0.239777780039742,-4.29912325186596
f11,combined_vs_hc,-0.0278538192304803,0.00681023176593907,-2.10978435180873,0.0349246921115942,0.239777780039742,-4.30065223907693
galnt5,combined_vs_hc,0.0263688877190409,-0.0228592790100944,2.10684536853752,0.035178863339674,0.24057501637252,-4.30669973698721
tpsd1,combined_vs_hc,0.0331581334809741,0.0190895530468482,2.10653150794678,0.0352060999569542,0.24057501637252,-4.30734506546339
slc12a2,combined_vs_hc,0.023385968998992,0.00302196876544172,2.10435972463045,0.0353950596430407,0.241299809416608,-4.31180783745139
crh,combined_vs_hc,-0.0963217096242609,0.032477997889934,-2.09887616859363,0.0358760218889598,0.244007242333556,-4.32305548268871
serpinb6,combined_vs_hc,-0.0252177021107563,-0.0173436370244045,-2.09656975056202,0.0360799770063967,0.24482240807837,-4.32777756020523
ppbp,combined_vs_hc,0.0637739219733266,-0.0579938859876583,2.0920633089563,0.0364813332821838,0.246970142289388,-4.33698893059872
dll1,combined_vs_hc,0.0277400995129194,-0.0244618095045438,2.09108861525478,0.0365686410160613,0.246986807419384,-4.33897864599893
