gene,Endothelial,Pericytes,Smooth muscle,Fibroblasts,Oligodendrocytes,Microglia,Astrocytes,Neurons,T cells,B cells,NK cells,Monocytes,Dendritic cells,Macrophages,Plasma cells,Granulocytes,logFC,direction
COL15A1,0.440471083408275,0.612896160353702,0.671635567127824,0.853736668426144,0.386656155076498,1,0.718182673303421,,0.291903842770137,0.384084003644917,,,,0.660624486269257,0.59917104568607,0.307267202915933,-0.0496815439438466,Down in MS
PTPRN2,0.241993957265784,0.223858649089112,0.173561586431372,0.191600865175543,0.177828948761229,0.286641822455029,0.241483121575923,0.289679037061072,0.431372549019608,0.552287581699346,0.493464052287582,,,0.294117647058824,0.225490196078431,1,-0.0502575779907432,Down in MS
TF,0.221192959850184,0.167548843638436,0.147025603192305,0.157959884334536,0.335206195609632,0.228065925189325,0.19348064513539,0.182688450657399,0.147727272727273,0.275568181818182,0.0255681818181818,,0.0482954545454546,0.0255681818181818,1,,-0.0507815812951981,Down in MS
CR1,0.0467029533660113,0.0468511842249631,0.0258089067311268,,0.116659911448621,0.107643771443657,0.0355387856781503,,0.0330188679245283,0.957547169811321,,0.547169811320755,,1,0.0330188679245283,0.0943396226415094,-0.0518435042104538,Down in MS
ADGRE5,0.0127530993091258,0.0131343949662448,0.0146427529898022,0.010326231685911,0.0138334931508494,0.0168801135238168,0.00964535586103354,0,0.420583482573131,0.190031490972766,0.6736283514028,1,0.339159267003051,0.277078925850172,0.176535764635183,0.249412686858128,-0.0522566102198883,Down in MS
BLMH,0.19350949126543,0.128876001926992,0.147852467935129,0.0833209006616875,0.138736128490974,0.255586293949126,0.103575817568451,0.216128568419476,0.910526315789473,0.194736842105263,1,0,0.2,0.510526315789474,0.963157894736842,0.947368421052632,-0.0524171405360057,Down in MS
ART3,0.598870229353959,0.644102227339969,0.827974983924961,0.504521176479881,1,0.581392993218743,0.435588572638572,0.270403428234452,,,,,,,,,-0.053062395501243,Down in MS
MEPE,0.256636682126611,0.269770955416377,0.183876339123837,,0.238115973195558,1,,,,,,,,,,,-0.0533789914849618,Down in MS
HRG,,,,,,0.525036395533134,,,,,,,,,1,,-0.053617656644676,Down in MS
DPP4,0.0674403354282469,0.0700476641414796,0.0839856559318003,0.0622783464206724,0.0816574274119339,0.23505322726168,0.130185098524661,0.0810362909531012,1,0.101694915254237,0.105084745762712,,0.76271186440678,0.132203389830508,0.023728813559322,0.735593220338983,-0.0536769362126473,Down in MS
ADAM23,0.176823636391445,0.376213702544444,0.499768840767654,0.447112125568916,0.652363172991126,0.537881337392204,0.4566493971709,1,0.365126659455538,,,,,,,,-0.0543218286302927,Down in MS
PTPRR,0.673053477495224,,,,0.311114050419797,0.439120902367462,,1,,,0.202090213940516,,,,,0.282926299516723,-0.0544985488726277,Down in MS
THY1,0.573562279586298,0.572614450033462,0.509200803735394,0.74092584771613,0.842847392566402,0.661224779614939,0.784813629655305,1,0.429075563419815,0.19803487542453,,,,0.407071688372645,0.341060063231135,0.451079438466985,-0.0546885399960879,Down in MS
SCN4B,0.597345010302095,0.89716763892516,1,0.69383133372762,0.538165484564113,0.642552166663907,0.632126695817849,0.254807712267641,,,,,,,,,-0.0550615678776567,Down in MS
PHYKPL,0.0172705712629533,0.00915977995653164,0.0110394706713309,0,0.00770517050955182,0.0375870790509549,0.0020111141066222,0.0277405543000129,0.572590910282366,0.608966151960462,0.502113879531054,0.328194755257654,1,0.354339460213786,0.430500122477301,0.323647850047892,-0.055688762532385,Down in MS
GPC1,0.514467134311143,0.731873567009014,0.808548179977957,0.645796888644411,0.717444442668694,0.637703080942626,0.69945825680827,1,0.219831222213848,0.261703835968866,0.115149687826301,,,0.219831222213848,0.261703835968866,0.240767529091357,-0.0558384562426387,Down in MS
DUSP13,,,,,,,,,,,,,,,,,-0.0559043575440997,Down in MS
WIF1,0.550092029070452,0.373659639798089,0.47904595870795,0.271788019793858,0.155717147840231,0.749239413977145,0.987696802345548,,,0.214285714285714,,,,0.228571428571429,,1,-0.0560595178745245,Down in MS
PPP3R1,0.038399328555434,0.0199677667611817,0.0211924809321972,0,0.0227108366503575,0.070777502267607,0.0347755380866259,0.0540925576577063,0.525035523222197,0.705655817208122,0.484897680114213,1,0.331035948200277,0.938120825208526,0.426363325581737,0.46817357881922,-0.0562607800761767,Down in MS
CLEC10A,0.00947045261915565,,0.00745824964787241,,0.00701362463670617,0.0264464051804427,0.00720464281580618,,0.0147702407002188,0.159737417943107,,0.0913566739606127,0.013129102844639,1,,,-0.0565078061559236,Down in MS
IGSF21,0.279565287516976,0.280493734093085,0.282478534641287,0.161647315638516,0.282679468639034,0.572284885271525,0.406024853712077,0.360047068318971,,,,,,1,,,-0.0567368595420875,Down in MS
