gene,Endothelial,Pericytes,Smooth muscle,Fibroblasts,Oligodendrocytes,Microglia,Astrocytes,Neurons,T cells,B cells,NK cells,Monocytes,Dendritic cells,Macrophages,Plasma cells,Granulocytes,logFC,direction
GLB1,0.0383179337590831,0.0255014065533499,0.02162101639269,0,0.00846306032564375,0.102093191237804,0.015979681790114,0.0444952403915133,0.280297983854042,0.344209745905614,0.102456559014887,0.583184160533229,0.327537112326943,1,0.472033270008757,0.397006418904738,0.0736974959865971,Up in MS
PLA2G15,0.16349145700744,0.141933390794503,0.142915401593713,0.108113450070461,0.151034651835779,0.320251427668761,0.18360437871922,0.212127071163355,0.0588235294117647,0,0.0431372549019608,0.0745098039215686,0.0392156862745098,1,0.0941176470588236,0.0666666666666667,0.0701957612504438,Up in MS
HS3ST3B1,,,,,0.025003229562673,0.0826554832433482,0.044174626929953,,0.261986301369863,0.0479452054794521,0.280821917808219,0.333904109589041,1,0.128424657534247,,0.0291095890410959,0.0700567631912083,Up in MS
ELOB,0.00252741934767032,0.00143506005001508,0.00235697673369843,0,0.00164795584901421,0.00332132569145325,0.00185552295291073,0.00385824042319157,0.505727512882377,0.357872429584575,0.587121654187271,1,0.367882596156346,0.735797242941775,0.766812349205132,0.448128029821857,0.0627262924295899,Up in MS
CX3CL1,0.996243378869863,0.580592869600153,1,0.698538022812842,0.433991140363026,0.799071633724335,0.610414278282367,0.754600181605782,,0.160547512898217,,,,,,0.298159666810974,0.0623745896839968,Up in MS
LTBP2,0.527883234283423,0.423076826056994,0.867156602539157,0.822348545534735,0.241229969794121,0.996996500656968,0.514767182023279,,0.166666666666667,,,,,1,0.222222222222222,,0.060938906463905,Up in MS
PDGFC,0.250176229758219,0.134596161508901,0.242089665099361,0.152182016189947,0.144319525610326,0.311288900909262,0.210918948244382,0.270676241020783,,0.0306122448979592,,0.319727891156463,0.904761904761905,1,0.0884353741496599,0.108843537414966,0.0562994673322673,Up in MS
CD302,0.0284792740899791,0.0296923873849343,0.0275708257542816,0.0248830751789242,0.0193057327328129,0.045314561833774,0.0306773828030262,0.0111522879922767,0.0100956429330499,0.0233793836344315,0,0.954835281615303,0.312964930924548,1,0.0249734325185972,0.128055260361318,0.0562155507152015,Up in MS
UBE2L6,0.0480082576368632,0.0206452349260268,0.0173371248318707,0.00127051466620268,0,0.0529917408043039,0.0155050471576498,0.0544617723968697,0.879519136894228,0.6319557195536,1,0.849811526813353,0.519726970359182,0.970292389919125,0.759038273788455,0.579142190520933,0.0553186437682549,Up in MS
PTPRF,0.320497830555072,0.326149984639883,0.329601511366724,0.300527075889401,0.467546208328792,0.344492027516522,0.345704946668371,0.481174856893387,0.186813186813187,0.0714285714285714,0.054945054945055,,,0.28021978021978,0.43956043956044,1,0.0551110483170961,Up in MS
CTSL,0.01279053234454,0.0132842874532364,0.0138166055801301,0.0120398800761364,0.0131523452925792,0.0174104393127368,0.0121226537362738,0.0122294838662829,0.0198333333333333,0.0095,,0.476666666666667,0.00683333333333333,1,0.0248333333333333,0.1005,0.046759133845089,Up in MS
RNASET2,0.00201278640058961,0.00198451809655624,0.00202029358020731,0,0.00183505928749035,0.00837192953975288,0.00413012489551789,0.00223632994690846,0.185405053734844,0.363318682392047,0.072091797992286,0.765495394257001,1,0.547534786455556,0.198141306118422,0.155862200267781,0.0459988951083261,Up in MS
GALNT7,0.0670833886027466,0.0439776818794586,0.0304504684437094,0,0.0900203395352611,0.128933883343267,0.0125044704219076,0.0724125399844991,0.168140639573424,0.243082924296539,0.0407387555441289,0.160646411101113,1,0.52411649200822,0.1194281545034,0.179381982281892,-0.0416673966432097,Down in MS
GSR,0.0622204369730159,0.0270866463439794,0.038665899359768,0,0.0264475429061973,0.132165188230623,0.0357579714868784,0.0974151131245661,0.466685545073617,0.273061825769134,0.476876267142274,1,0.171154605082564,0.813170095407955,0.436113378867646,0.684087615871633,-0.0437016575065232,Down in MS
IGDCC4,0.213701247731997,0.449198970691262,0.229966874204675,0.653088190329047,0.279667536986748,0.534428753267962,0.432299291107278,1,,,,,,,,,-0.0460497037377167,Down in MS
EPHA4,0.757813585688909,0.349584222857048,0.501776332928237,0.396913909474656,0.256835031134394,0.523741948901625,0.468121880871096,0.87954379312397,0.553571428571429,0.6875,0.571428571428571,,1,0.0803571428571429,,,-0.0488951721537066,Down in MS
PENK,0.215483604988365,,0.130031329470076,0.630664021348653,,0.461191322905271,0.189115830968438,1,,,,,,0.154684717770808,0.244917469803779,0.19335589721351,-0.0511223969140927,Down in MS
SCRG1,0.743120518646945,0.620765730995496,0.643217656349639,0.471403069408583,0.925014193496639,1,0.986893789033982,0.904349390896093,0.385785917093923,,0.289339437820442,0.66306954500518,0.168781338728591,0.361674297275553,,0.108502289182666,-0.0514950555730153,Down in MS
MEPE,0.256636682126611,0.269770955416377,0.183876339123837,,0.238115973195558,1,,,,,,,,,,,-0.0535068622967578,Down in MS
NELL2,0.117812621018645,0.0841832285266473,0.0650490869680404,0.246594250172267,0.117362674017235,0.238463845845124,0.175256996023345,0.432814060717801,1,,0.0810810810810811,,,,,,-0.0546747787368898,Down in MS
ADGRG2,0.580153447016806,0.721299902627331,0.586807374279419,0.275621147851054,0.64145313220731,1,,,,,,,,,,,-0.0548855105771089,Down in MS
THY1,0.573562279586298,0.572614450033462,0.509200803735394,0.74092584771613,0.842847392566402,0.661224779614939,0.784813629655305,1,0.429075563419815,0.19803487542453,,,,0.407071688372645,0.341060063231135,0.451079438466985,-0.0554055538123586,Down in MS
VGF,0.499978920943916,,,0.271794459146757,,0.543940860126505,0.337976666407141,1,,,,0.444070734230578,,,,,-0.0563030410073913,Down in MS
RTBDN,,,,,,,,,,,,,,,,,-0.0588485797968849,Down in MS
SNAP25,0.699735978972633,0.496115786294355,0.572992977266875,0.49439964163326,0.544811617427012,0.862412253483119,0.993849872727774,1,,,,,,,,,-0.0601506064789924,Down in MS
PLXDC1,0.561705863876382,0.760150835910095,0.541669319991934,0.548809201073207,0.338934297254375,0.718396409618442,0.552876128420015,0.207847014853443,0.866141732283465,,1,,0.196850393700787,0.889763779527559,0.078740157480315,,-0.0602657890221041,Down in MS
DPP4,0.0674403354282469,0.0700476641414796,0.0839856559318003,0.0622783464206724,0.0816574274119339,0.23505322726168,0.130185098524661,0.0810362909531012,1,0.101694915254237,0.105084745762712,,0.76271186440678,0.132203389830508,0.023728813559322,0.735593220338983,-0.0605770390006648,Down in MS
APOA4,,,,,,,,,,,,,,,,,-0.0618613048939231,Down in MS
PTPRN2,0.241993957265784,0.223858649089112,0.173561586431372,0.191600865175543,0.177828948761229,0.286641822455029,0.241483121575923,0.289679037061072,0.431372549019608,0.552287581699346,0.493464052287582,,,0.294117647058824,0.225490196078431,1,-0.0620492436194232,Down in MS
GPR158,,,,,1,,,,,,,,,,,,-0.0620855123154724,Down in MS
COL15A1,0.440471083408275,0.612896160353702,0.671635567127824,0.853736668426144,0.386656155076498,1,0.718182673303421,,0.291903842770137,0.384084003644917,,,,0.660624486269257,0.59917104568607,0.307267202915933,-0.0621379358596045,Down in MS
TF,0.221192959850184,0.167548843638436,0.147025603192305,0.157959884334536,0.335206195609632,0.228065925189325,0.19348064513539,0.182688450657399,0.147727272727273,0.275568181818182,0.0255681818181818,,0.0482954545454546,0.0255681818181818,1,,-0.0623932645401704,Down in MS
PEPD,0.0261205665441304,0.014851301360623,0.017053331359609,0,0.0214800151485735,0.0393332467738783,0.0077404751221833,0.0183652622976441,0.316657622175843,0.287784000577639,0.260113446546027,0.464634932866637,0.299814676243557,1,0.379217135638618,0.652313473254962,-0.0631669203413724,Down in MS
RGMB,0.519301964529652,0.435287867007288,0.466044430063489,0.395033653145976,0.45672869921633,0.694178533115501,0.423329648471983,0.760959587327604,0.25,1,,,,0.266129032258065,0.379032258064516,,-0.0634906089158537,Down in MS
DUSP13,,,,,,,,,,,,,,,,,-0.0640201716773873,Down in MS
