ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,gene_set,database,category,subcategory
GO:0006958,"complement activation, classical pathway",2/57,39/18860,0.0512820512820513,16.9680611785875,5.49599500183737,0.00618959744159121,0.0428629622830191,0.0293734404903583,TREM2/C4BPB,2,up_DEPs,GO_BP,,
GO:0043372,"positive regulation of CD4-positive, alpha-beta T cell differentiation",2/57,39/18860,0.0512820512820513,16.9680611785875,5.49599500183737,0.00618959744159121,0.0428629622830191,0.0293734404903583,LGALS9/CD83,2,up_DEPs,GO_BP,,
GO:0045589,regulation of regulatory T cell differentiation,2/57,39/18860,0.0512820512820513,16.9680611785875,5.49599500183737,0.00618959744159121,0.0428629622830191,0.0293734404903583,LILRB4/LGALS9,2,up_DEPs,GO_BP,,
GO:0071604,transforming growth factor beta production,2/57,39/18860,0.0512820512820513,16.9680611785875,5.49599500183737,0.00618959744159121,0.0428629622830191,0.0293734404903583,LGALS9/CX3CL1,2,up_DEPs,GO_BP,,
GO:0150146,cell junction disassembly,2/57,39/18860,0.0512820512820513,16.9680611785875,5.49599500183737,0.00618959744159121,0.0428629622830191,0.0293734404903583,TREM2/CX3CL1,2,up_DEPs,GO_BP,,
GO:0034110,regulation of homotypic cell-cell adhesion,2/57,40/18860,0.05,16.5438596491228,5.41828989508551,0.00650279421396839,0.0446596858827085,0.0306047122205907,PLAUR/IL6,2,up_DEPs,GO_BP,,
GO:0045730,respiratory burst,2/57,40/18860,0.05,16.5438596491228,5.41828989508551,0.00650279421396839,0.0446596858827085,0.0306047122205907,TREM2/JCHAIN,2,up_DEPs,GO_BP,,
GO:1903050,regulation of proteolysis involved in protein catabolic process,4/57,248/18860,0.0161290322580645,5.33672891907187,3.78507752992267,0.00668150201949929,0.045698174306205,0.0313163750708176,LAMP3/TREM2/CTSC/ELOB,4,up_DEPs,GO_BP,,
GO:0002369,T cell cytokine production,2/57,41/18860,0.0487804878048781,16.140350877193,5.34333966604722,0.00682308291031748,0.0462210598679727,0.0316747018665821,LILRB4/IL6,2,up_DEPs,GO_BP,,
GO:0002724,regulation of T cell cytokine production,2/57,41/18860,0.0487804878048781,16.140350877193,5.34333966604722,0.00682308291031748,0.0462210598679727,0.0316747018665821,LILRB4/IL6,2,up_DEPs,GO_BP,,
GO:0002532,production of molecular mediator involved in inflammatory response,3/57,128/18860,0.0234375,7.75493421052632,4.22199018077123,0.00684138431258802,0.0462210598679727,0.0316747018665821,LILRB4/TREM2/IL6,3,up_DEPs,GO_BP,,
GO:0050900,leukocyte migration,5/57,397/18860,0.0125944584382872,4.16721905519466,3.51160295037668,0.00688181112382749,0.0463059517724748,0.0317328772042674,CHGA/LGALS9/TREM2/CX3CL1/IL6,5,up_DEPs,GO_BP,,
GO:0002367,cytokine production involved in immune response,3/57,130/18860,0.0230769230769231,7.63562753036437,4.17992002893659,0.00713937839151223,0.047653200348166,0.0326561294424698,LILRB4/ACP5/IL6,3,up_DEPs,GO_BP,,
GO:0002718,regulation of cytokine production involved in immune response,3/57,130/18860,0.0230769230769231,7.63562753036437,4.17992002893659,0.00713937839151223,0.047653200348166,0.0326561294424698,LILRB4/ACP5/IL6,3,up_DEPs,GO_BP,,
GO:0042327,positive regulation of phosphorylation,4/57,254/18860,0.015748031496063,5.21066445641663,3.71983922255935,0.00725889356026669,0.048257124388653,0.0330699908724571,IL15/PLAUR/THPO/IL6,4,up_DEPs,GO_BP,,
GO:0001952,regulation of cell-matrix adhesion,3/57,131/18860,0.0229007633587786,7.57734029730816,4.15921959000603,0.00729122824358586,0.0482789694854171,0.0330849610382047,EPHA1/CX3CL1/MMP12,3,up_DEPs,GO_BP,,
GO:0002824,positive regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,3/57,132/18860,0.0227272727272727,7.51993620414673,4.13873668555851,0.00744498775112702,0.048403386731448,0.0331702225875146,TNFSF13/TREM2/IL6,3,up_DEPs,GO_BP,,
GO:0050830,defense response to Gram-positive bacterium,3/57,132/18860,0.0227272727272727,7.51993620414673,4.13873668555851,0.00744498775112702,0.048403386731448,0.0331702225875146,CHGA/ACP5/IL6,3,up_DEPs,GO_BP,,
GO:0002714,positive regulation of B cell mediated immunity,2/57,43/18860,0.0465116279069768,15.3896368829049,5.20106229156212,0.00748475956075941,0.048403386731448,0.0331702225875146,TNFSF13/TREM2,2,up_DEPs,GO_BP,,
GO:0002891,positive regulation of immunoglobulin mediated immune response,2/57,43/18860,0.0465116279069768,15.3896368829049,5.20106229156212,0.00748475956075941,0.048403386731448,0.0331702225875146,TNFSF13/TREM2,2,up_DEPs,GO_BP,,
GO:0045066,regulatory T cell differentiation,2/57,43/18860,0.0465116279069768,15.3896368829049,5.20106229156212,0.00748475956075941,0.048403386731448,0.0331702225875146,LILRB4/LGALS9,2,up_DEPs,GO_BP,,
GO:0046640,regulation of alpha-beta T cell proliferation,2/57,43/18860,0.0465116279069768,15.3896368829049,5.20106229156212,0.00748475956075941,0.048403386731448,0.0331702225875146,LGALS9/IL2RA,2,up_DEPs,GO_BP,,
GO:0002573,myeloid leukocyte differentiation,4/57,257/18860,0.0155642023346304,5.14983957949348,3.68798853436406,0.00755959649809031,0.0486978658132795,0.0333720253404069,LILRB4/IL15/OSCAR/TREM2,4,up_DEPs,GO_BP,,
GO:0032689,negative regulation of type II interferon production,2/57,44/18860,0.0454545454545455,15.0398724082935,5.13344640436717,0.007826059742188,0.0494559364696443,0.0338915214770759,LILRB4/LGALS9,2,up_DEPs,GO_BP,,
GO:0043277,apoptotic cell clearance,2/57,44/18860,0.0454545454545455,15.0398724082935,5.13344640436717,0.007826059742188,0.0494559364696443,0.0338915214770759,MERTK/TREM2,2,up_DEPs,GO_BP,,
GO:0045745,positive regulation of G protein-coupled receptor signaling pathway,2/57,44/18860,0.0454545454545455,15.0398724082935,5.13344640436717,0.007826059742188,0.0494559364696443,0.0338915214770759,CHGA/TREM2,2,up_DEPs,GO_BP,,
