gene,Microglial cells,Astrocytes,Oligodendrocytes,Oligodendrocyte precursor cells,Excitatory neurons,Inhibitory neurons,T-cells,B-cells,NK-cells,monocytes,dendritic cells,Macrophages,Plasma cells,granulocytes,logFC,direction
ADAM23,0.0247349823321555,0.0999495204442201,0.052246340232206,0.301110550227158,1,0.573195355880868,0.00731953558808683,,,,,,,,-0.0543218286302927,Down in MS
PTPRR,0.0187012987012987,0.0192207792207792,0.0197402597402597,0.00987012987012987,1,0.797922077922078,,,0.00779220779220779,,,,,0.0109090909090909,-0.0544985488726277,Down in MS
THY1,0.183928571428571,0.146428571428571,0.188392857142857,0.539285714285714,1,0.890178571428572,0.0348214285714286,0.0160714285714286,,,,0.0330357142857143,0.0276785714285714,0.0366071428571429,-0.0546885399960879,Down in MS
SCN4B,0.102272727272727,0.159090909090909,0.0738636363636364,0.0795454545454545,1,0.448863636363636,,,,,,,,,-0.0550615678776567,Down in MS
PHYKPL,0.230271668822768,0.166882276843467,0.323415265200517,0.133247089262613,0.03751617076326,0,0.513583441138422,0.554980595084088,0.433376455368693,0.235446313065977,1,0.265200517464424,0.351875808538163,0.230271668822768,-0.055688762532385,Down in MS
GPC1,0.105263157894737,0.844054580896686,0.161793372319688,0.341130604288499,1,0.840155945419103,0.0409356725146199,0.0487329434697856,0.0214424951267057,,,0.0409356725146199,0.0487329434697856,0.0448343079922027,-0.0558384562426387,Down in MS
DUSP13,,,,,,,,,,,,,,,-0.0559043575440997,Down in MS
WIF1,0.0657223796033994,1,,0.00793201133144476,,0.254390934844193,,0.0084985835694051,,,,0.00906515580736544,,0.0396600566572238,-0.0560595178745245,Down in MS
PPP3R1,0.626964433416046,0.430934656741109,0.387096774193548,0.356492969396195,1,0.529363110008271,0.0959470636889992,0.185277088502895,0.076095947063689,0.33085194375517,0,0.300248138957816,0.0471464019851117,0.0678246484698098,-0.0562607800761767,Down in MS
CLEC10A,,,,,,,0.0147702407002188,0.159737417943107,,0.0913566739606127,0.013129102844639,1,,,-0.0565078061559236,Down in MS
IGSF21,0.540377358490566,0.0256603773584906,0.0173584905660377,1,0.599245283018868,0.209056603773585,,,,,,0.137358490566038,,,-0.0567368595420875,Down in MS
MIA,,,,,,,,,,,,,,,-0.0568713761353005,Down in MS
IGSF3,,,,0.0777777777777778,0.633333333333333,1,,,,,,0.0555555555555556,,0.2,-0.0578227896228904,Down in MS
SFRP4,0.050656660412758,,,0.309568480300188,,,0.168855534709193,,,,,0.142589118198874,1,0.951219512195122,-0.0596478139926735,Down in MS
FAM3B,0.3,,,,,,0.283333333333333,0.816666666666667,,0.583333333333333,,0.633333333333333,,1,-0.060000819511494,Down in MS
ARHGAP1,0,0.0678191489361702,1,0.146276595744681,0.023936170212766,0.0531914893617021,0.118351063829787,0.074468085106383,0.242021276595745,0.321808510638298,0.356382978723404,0.123670212765957,0.0292553191489362,0.111702127659575,-0.0600933443723618,Down in MS
ADA,0.0316573556797021,0.0242085661080075,0.0791433891992551,,,,0.238361266294227,0.102420856610801,0.407821229050279,0.971135940409683,1,0.202048417132216,0.28584729981378,,-0.0609570418898548,Down in MS
CD209,,,,,,,,,,,,1,,,-0.0628291812722979,Down in MS
