gene,Microglial cells,Astrocytes,Oligodendrocytes,Oligodendrocyte precursor cells,Excitatory neurons,Inhibitory neurons,T-cells,B-cells,NK-cells,monocytes,dendritic cells,Macrophages,Plasma cells,granulocytes,logFC,direction
GALNT7,0.336489898989899,0.393939393939394,0.276515151515151,0.381313131313131,0.412247474747475,1,0.0214646464646465,0.0340909090909091,0,0.0202020202020202,0.161616161616162,0.0814393939393939,0.0132575757575758,0.0233585858585859,-0.0416673966432097,Down in MS
GSR,0.0551181102362204,0.110236220472441,0,0.0984251968503937,0.322834645669291,0.665354330708661,0.381889763779528,0.15748031496063,0.393700787401575,1,0.0393700787401575,0.783464566929134,0.346456692913386,0.633858267716535,-0.0437016575065232,Down in MS
IGDCC4,0.761363636363636,1,0.0568181818181818,0.9375,,0.346590909090909,,,,,,,,,-0.0460497037377167,Down in MS
EPHA4,0.217631750162654,0.159401431359792,0.0234222511385817,0.0237475601821731,1,0.213728041639558,0.0201691607026675,0.0250487963565387,0.0208197787898504,,0.0364346128822381,0.00292778139232271,,,-0.0488951721537066,Down in MS
PENK,0.124137931034483,,,,,1,,,,,,0.0827586206896552,0.131034482758621,0.103448275862069,-0.0511223969140927,Down in MS
SCRG1,0.0241343126967471,0.457502623294858,0.253934942287513,1,0.18887722980063,0.205666316894019,0.0335781741867786,,0.0251836306400839,0.0577124868835257,0.0146904512067156,0.0314795383001049,,0.00944386149003148,-0.0514950555730153,Down in MS
MEPE,,,,,,1,,,,,,,,,-0.0535068622967578,Down in MS
NELL2,0.0284172090808065,0.0722336878869662,0.0242895697729798,0.110811239879346,1,0.163994284807112,0.0352436894745198,,0.00285759644387998,,,,,,-0.0546747787368898,Down in MS
ADGRG2,0.478723404255319,0.361702127659574,0.691489361702128,1,0.457446808510638,0.51063829787234,,,,,,,,,-0.0548855105771089,Down in MS
THY1,0.183928571428571,0.146428571428571,0.188392857142857,0.539285714285714,1,0.890178571428572,0.0348214285714286,0.0160714285714286,,,,0.0330357142857143,0.0276785714285714,0.0366071428571429,-0.0554055538123586,Down in MS
VGF,0.298050139275766,0.0947075208913649,0.125348189415042,0.105849582172702,0.610027855153203,1,,,,0.103064066852368,,,,,-0.0563030410073913,Down in MS
RTBDN,,,,,1,0.888888888888889,,,,,,,,,-0.0588485797968849,Down in MS
SNAP25,0.117503309235312,0.113226758985847,0.107422869361572,0.171469300478566,1,0.539252621932593,,,,,,,,,-0.0601506064789924,Down in MS
PLXDC1,1,0.0741839762611276,0.029673590504451,0.0741839762611276,0.468842729970326,0.451038575667656,0.326409495548961,,0.376854599406528,,0.0741839762611276,0.335311572700297,0.029673590504451,,-0.0602657890221041,Down in MS
DPP4,0.109634551495017,,,0.0697674418604651,1,0.18936877076412,1,0.119601328903655,0.122923588039867,,0.767441860465116,0.149501661129568,0.0431893687707641,0.740863787375415,-0.0605770390006648,Down in MS
APOA4,,,,,,,,,,,,,,,-0.0618613048939231,Down in MS
PTPRN2,0.0605560791705938,0.0360508953817154,0.0237983034872762,0.305136663524976,1,0.978557964184731,0.0311027332704995,0.0398209236569274,0.0355796418473139,,,0.0212064090480679,0.016258246936852,0.0721017907634307,-0.0620492436194232,Down in MS
GPR158,0.0248857287963433,0.0292026409344845,0.240223463687151,1,0.900964956830879,0.732859319451498,,,,,,,,,-0.0620855123154724,Down in MS
COL15A1,1,,,,,0.0626398210290828,0.0425055928411633,0.0559284116331096,,,,0.0961968680089485,0.087248322147651,0.0447427293064877,-0.0621379358596045,Down in MS
TF,0.00877805486284289,0.034214463840399,1,0.0421945137157107,0.0328179551122195,0.0331172069825436,0.00518703241895262,0.00967581047381546,0.000897755610972569,,0.00169576059850374,0.000897755610972569,0.0351122194513716,,-0.0623932645401704,Down in MS
PEPD,0.0558375634517766,0,0.151015228426396,0.120558375634518,0.106598984771574,0.0444162436548223,0.279187817258883,0.248730964467005,0.219543147208122,0.435279187817259,0.261421319796954,1,0.345177664974619,0.633248730964467,-0.0631669203413724,Down in MS
RGMB,0.163636363636364,0.215151515151515,0.187878787878788,1,0.609090909090909,0.684848484848485,0.0939393939393939,0.375757575757576,,,,0.1,0.142424242424242,,-0.0634906089158537,Down in MS
DUSP13,,,,,,,,,,,,,,,-0.0640201716773873,Down in MS
CD248,0.285714285714286,0.19047619047619,,,,,1,0.523809523809524,,,,0.365079365079365,0.761904761904762,0.158730158730159,-0.0662902318645006,Down in MS
ARHGAP1,0,0.0678191489361702,1,0.146276595744681,0.023936170212766,0.0531914893617021,0.118351063829787,0.074468085106383,0.242021276595745,0.321808510638298,0.356382978723404,0.123670212765957,0.0292553191489362,0.111702127659575,-0.0667374416963975,Down in MS
KLK8,,,,,,,,,,,,0.382352941176471,,1,-0.0671224064769168,Down in MS
ITGB6,,,,,,,,,,,,0.541666666666667,,1,-0.0677334818273303,Down in MS
HRG,,,,,,,,,,,,,1,,-0.0687772265544706,Down in MS
DPP6,0.0117634185041309,0.0767631449362587,0.148109646003173,1,0.356349510313509,0.6278929802484,,,,,,,,,-0.0712630435348878,Down in MS
TNXB,1,0.142011834319527,0.0591715976331361,,0.396449704142012,0.230769230769231,0.130177514792899,0.14792899408284,,,,0.201183431952663,0.242603550295858,0.14792899408284,-0.071990875647453,Down in MS
