ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,gene_set
GO:0045619,regulation of lymphocyte differentiation,4/36,227/18860,0.0176211453744493,9.23152227116985,5.45640147582508,0.000889863147036217,0.0149175669232321,0.0098613489101382,LILRB4/LGALS9/IL15/IL2RA,4,up_DEPs
GO:0050867,positive regulation of cell activation,5/36,401/18860,0.0124688279301746,6.5322804100859,4.89696398153699,0.000928374271324206,0.0151425371011935,0.0100100668230974,LILRB4/LGALS9/IL15/IGFBP2/IL2RA,5,up_DEPs
GO:1903037,regulation of leukocyte cell-cell adhesion,5/36,401/18860,0.0124688279301746,6.5322804100859,4.89696398153699,0.000928374271324206,0.0151425371011935,0.0100100668230974,LILRB4/LGALS9/IL15/IGFBP2/IL2RA,5,up_DEPs
GO:0045591,positive regulation of regulatory T cell differentiation,2/36,24/18860,0.0833333333333333,43.6574074074074,9.14450833907538,0.000952229491961498,0.015243841199984,0.0100770345175842,LILRB4/LGALS9,2,up_DEPs
GO:0050863,regulation of T cell activation,5/36,404/18860,0.0123762376237624,6.48377337733773,4.87254674428191,0.000959844184920287,0.015243841199984,0.0100770345175842,LILRB4/LGALS9/IL15/IGFBP2/IL2RA,5,up_DEPs
GO:0070664,negative regulation of leukocyte proliferation,3/36,105/18860,0.0285714285714286,14.968253968254,6.27672153238697,0.00104751245030614,0.0164200977599937,0.0108546061152708,LILRB4/LGALS9/IL2RA,3,up_DEPs
GO:0002026,regulation of the force of heart contraction,2/36,26/18860,0.0769230769230769,40.2991452991453,8.76906157599851,0.00111859760096114,0.0173095808251295,0.0114426043391167,CHGA/CSRP3,2,up_DEPs
GO:0001779,natural killer cell differentiation,2/36,27/18860,0.0740740740740741,38.8065843621399,8.59694592868552,0.00120663721370994,0.0184355837588342,0.0121869554695821,MERTK/IL15,2,up_DEPs
GO:0042104,positive regulation of activated T cell proliferation,2/36,28/18860,0.0714285714285714,37.4206349206349,8.4339870347355,0.00129789791068977,0.0195820347275318,0.0129448238987216,IGFBP2/IL2RA,2,up_DEPs
GO:0007159,leukocyte cell-cell adhesion,5/36,439/18860,0.0113895216400911,5.96684383700329,4.60480016604052,0.00138872438917182,0.0206937078732146,0.0136797022351168,LILRB4/LGALS9/IL15/IGFBP2/IL2RA,5,up_DEPs
GO:0001776,leukocyte homeostasis,3/36,118/18860,0.0254237288135593,13.319209039548,5.87043772191267,0.00146638529622688,0.021584476250559,0.0142685501224643,MERTK/LGALS9/IL2RA,3,up_DEPs
GO:0019886,antigen processing and presentation of exogenous peptide antigen via MHC class II,2/36,31/18860,0.0645161290322581,33.7992831541219,7.99256533029983,0.00159088740166864,0.0231349529375186,0.015293502225299,CTSF/CTSL,2,up_DEPs
GO:0046634,regulation of alpha-beta T cell activation,3/36,124/18860,0.0241935483870968,12.6747311827957,5.70392644918577,0.00169046302061677,0.0239457473161308,0.0158294828113436,LILRB4/LGALS9/IL2RA,3,up_DEPs
GO:0032682,negative regulation of chemokine production,2/36,32/18860,0.0625,32.7430555555556,7.85916211155736,0.00169491348798289,0.0239457473161308,0.0158294828113436,LILRB4/LGALS9,2,up_DEPs
GO:0050727,regulation of inflammatory response,5/36,460/18860,0.0108695652173913,5.69444444444445,4.45767941324045,0.00170615929510128,0.0239457473161308,0.0158294828113436,IL17RB/ACP5/IL15/IL2RA/CX3CL1,5,up_DEPs
GO:0045582,positive regulation of T cell differentiation,3/36,125/18860,0.024,12.5733333333333,5.67729214737517,0.00172977158515744,0.0239980954400578,0.0158640878590362,LILRB4/LGALS9/IL2RA,3,up_DEPs
GO:0002495,antigen processing and presentation of peptide antigen via MHC class II,2/36,35/18860,0.0571428571428571,29.9365079365079,7.49319910361598,0.00202591530980879,0.0271697753215467,0.0179607462553808,CTSF/CTSL,2,up_DEPs
GO:0002719,negative regulation of cytokine production involved in immune response,2/36,35/18860,0.0571428571428571,29.9365079365079,7.49319910361598,0.00202591530980879,0.0271697753215467,0.0179607462553808,LILRB4/ACP5,2,up_DEPs
GO:0071634,regulation of transforming growth factor beta production,2/36,35/18860,0.0571428571428571,29.9365079365079,7.49319910361598,0.00202591530980879,0.0271697753215467,0.0179607462553808,LGALS9/CX3CL1,2,up_DEPs
GO:0046718,symbiont entry into host cell,3/36,136/18860,0.0220588235294118,11.5563725490196,5.40305601711777,0.00220035744262674,0.0290480668190693,0.0192024023449654,LGALS9/SIGLEC1/CTSL,3,up_DEPs
GO:0002504,antigen processing and presentation of peptide or polysaccharide antigen via MHC class II,2/36,37/18860,0.0540540540540541,28.3183183183183,7.27386146957111,0.00226223552692006,0.0290480668190693,0.0192024023449654,CTSF/CTSL,2,up_DEPs
GO:1901099,negative regulation of signal transduction in absence of ligand,2/36,37/18860,0.0540540540540541,28.3183183183183,7.27386146957111,0.00226223552692006,0.0290480668190693,0.0192024023449654,GDNF/CX3CL1,2,up_DEPs
GO:2001240,negative regulation of extrinsic apoptotic signaling pathway in absence of ligand,2/36,37/18860,0.0540540540540541,28.3183183183183,7.27386146957111,0.00226223552692006,0.0290480668190693,0.0192024023449654,GDNF/CX3CL1,2,up_DEPs
GO:0035710,"CD4-positive, alpha-beta T cell activation",3/36,138/18860,0.0217391304347826,11.3888888888889,5.35657447799731,0.00229361672018277,0.0291410040132695,0.0192638390459672,LGALS9/CTSL/IL2RA,3,up_DEPs
GO:0002698,negative regulation of immune effector process,3/36,140/18860,0.0214285714285714,11.2261904761905,5.31104030145583,0.00238930088923295,0.0297131297806144,0.0196420462858813,LILRB4/LGALS9/ACP5,3,up_DEPs
GO:0019058,viral life cycle,4/36,298/18860,0.0134228187919463,7.03206562266965,4.59003956422398,0.00241615519438664,0.0297131297806144,0.0196420462858813,LGALS9/SIGLEC1/CTSL/LAMP3,4,up_DEPs
GO:0044409,symbiont entry into host,3/36,141/18860,0.0212765957446809,11.1465721040189,5.28861805908085,0.00243805912652317,0.0297131297806144,0.0196420462858813,LGALS9/SIGLEC1/CTSL,3,up_DEPs
GO:0006516,glycoprotein catabolic process,2/36,39/18860,0.0512820512820513,26.8660968660969,7.0712546828014,0.00251096871385474,0.0297131297806144,0.0196420462858813,CTSL/GLB1,2,up_DEPs
GO:0045589,regulation of regulatory T cell differentiation,2/36,39/18860,0.0512820512820513,26.8660968660969,7.0712546828014,0.00251096871385474,0.0297131297806144,0.0196420462858813,LILRB4/LGALS9,2,up_DEPs
GO:0050433,regulation of catecholamine secretion,2/36,39/18860,0.0512820512820513,26.8660968660969,7.0712546828014,0.00251096871385474,0.0297131297806144,0.0196420462858813,CHGA/GDNF,2,up_DEPs
GO:0071604,transforming growth factor beta production,2/36,39/18860,0.0512820512820513,26.8660968660969,7.0712546828014,0.00251096871385474,0.0297131297806144,0.0196420462858813,LGALS9/CX3CL1,2,up_DEPs
GO:0046632,alpha-beta T cell differentiation,3/36,143/18860,0.020979020979021,10.990675990676,5.24444332670325,0.0025374213640999,0.0297346367618309,0.0196562636074371,LILRB4/LGALS9/CTSL,3,up_DEPs
GO:0050868,negative regulation of T cell activation,3/36,146/18860,0.0205479452054795,10.7648401826484,5.17979865625617,0.00269111888974608,0.0312325048069569,0.0206464384456227,LILRB4/LGALS9/IL2RA,3,up_DEPs
GO:0002478,antigen processing and presentation of exogenous peptide antigen,2/36,41/18860,0.0487804878048781,25.5555555555556,6.88332134734703,0.0027720220863676,0.0318650538880542,0.0210645888868836,CTSF/CTSL,2,up_DEPs
GO:0031348,negative regulation of defense response,4/36,313/18860,0.012779552715655,6.69506567270146,4.44312665008435,0.00288438269501736,0.0328438671026976,0.0217116393527622,LGALS9/ACP5/IL2RA/CX3CL1,4,up_DEPs
GO:0045066,regulatory T cell differentiation,2/36,43/18860,0.0465116279069768,24.3669250645995,6.70834245284428,0.00304530335342995,0.034034084699907,0.0224984399795312,LILRB4/LGALS9,2,up_DEPs
GO:0046640,regulation of alpha-beta T cell proliferation,2/36,43/18860,0.0465116279069768,24.3669250645995,6.70834245284428,0.00304530335342995,0.034034084699907,0.0224984399795312,LGALS9/IL2RA,2,up_DEPs
GO:0032689,negative regulation of type II interferon production,2/36,44/18860,0.0454545454545455,23.8131313131313,6.62524907141363,0.00318650074078139,0.0352853797625976,0.0233256162386509,LILRB4/LGALS9,2,up_DEPs
GO:0002701,negative regulation of production of molecular mediator of immune response,2/36,46/18860,0.0434782608695652,22.7777777777778,6.46705465730425,0.00347795187737226,0.0374811421070386,0.0247771383745129,LILRB4/ACP5,2,up_DEPs
GO:0030201,heparan sulfate proteoglycan metabolic process,2/36,46/18860,0.0434782608695652,22.7777777777778,6.46705465730425,0.00347795187737226,0.0374811421070386,0.0247771383745129,GLB1/HS3ST3B1,2,up_DEPs
GO:0050432,catecholamine secretion,2/36,46/18860,0.0434782608695652,22.7777777777778,6.46705465730425,0.00347795187737226,0.0374811421070386,0.0247771383745129,CHGA/GDNF,2,up_DEPs
GO:0043122,regulation of canonical NF-kappaB signal transduction,4/36,332/18860,0.0120481927710843,6.31191432396252,4.27032034990967,0.00356251612552759,0.0380527164912549,0.0251549811192353,LILRB4/LGALS9/TMED4/CX3CL1,4,up_DEPs
GO:0001504,neurotransmitter uptake,2/36,47/18860,0.0425531914893617,22.2931442080378,6.39166964315376,0.00362818285969674,0.0384141816811752,0.0253939298951997,GFAP/GDNF,2,up_DEPs
GO:2001239,regulation of extrinsic apoptotic signaling pathway in absence of ligand,2/36,48/18860,0.0416666666666667,21.8287037037037,6.31858743058993,0.00378140232403842,0.0395235942425516,0.0261273138585044,GDNF/CX3CL1,2,up_DEPs
GO:1903038,negative regulation of leukocyte cell-cell adhesion,3/36,165/18860,0.0181818181818182,9.52525252525252,4.80995610351028,0.00379845644750289,0.0395235942425516,0.0261273138585044,LILRB4/LGALS9/IL2RA,3,up_DEPs
GO:0048545,response to steroid hormone,4/36,343/18860,0.0116618075801749,6.10949141561386,4.17632265544287,0.00400111203680957,0.0409266290544843,0.027054798607508,NEFL/IGFBP2/IL1RN/GLB1,4,up_DEPs
GO:1902105,regulation of leukocyte differentiation,4/36,343/18860,0.0116618075801749,6.10949141561386,4.17632265544287,0.00400111203680957,0.0409266290544843,0.027054798607508,LILRB4/LGALS9/IL15/IL2RA,4,up_DEPs
GO:0019884,antigen processing and presentation of exogenous antigen,2/36,50/18860,0.04,20.9555555555556,6.1788698982007,0.00409676149837271,0.0412065927377988,0.0272398703137413,CTSF/CTSL,2,up_DEPs
GO:0043029,T cell homeostasis,2/36,50/18860,0.04,20.9555555555556,6.1788698982007,0.00409676149837271,0.0412065927377988,0.0272398703137413,LGALS9/IL2RA,2,up_DEPs
GO:0032635,interleukin-6 production,3/36,177/18860,0.0169491525423729,8.87947269303202,4.60590636300748,0.00462196706897076,0.0456830218854619,0.0301990411975582,LILRB4/LGALS9/CX3CL1,3,up_DEPs
GO:0032675,regulation of interleukin-6 production,3/36,177/18860,0.0169491525423729,8.87947269303202,4.60590636300748,0.00462196706897076,0.0456830218854619,0.0301990411975582,LILRB4/LGALS9/CX3CL1,3,up_DEPs
GO:0007249,canonical NF-kappaB signal transduction,4/36,359/18860,0.011142061281337,5.83720210461158,4.04667642622446,0.00470260397129602,0.0456830218854619,0.0301990411975582,LILRB4/LGALS9/TMED4/CX3CL1,4,up_DEPs
